type,subtype,0,1,2,3
info,start,2022-06-13 12:26:14,2022-06-13 12:26:14,2022-06-13 12:26:14,
info,trace_id,CN.INK..BHU,CN.INK..BHV,CN.INK..BHW,CN.INK..BHC
info,waveform_file,INK_3282_20220613_122004.mseed,INK_3282_20220613_122004.mseed,INK_3282_20220613_122004.mseed,prb_0.1V_10ms_3h.lzma
info,response_file,CN.INK..BH_20220613.xml,CN.INK..BH_20220613.xml,CN.INK..BH_20220613.xml,Centaur_Trillium120Q_Calibration.xml
info,delay_start,0.0,0.0,0.0,
info,spec_min_freq_hz,0.02,0.02,0.02,
info,spec_max_freq_hz,16.0,16.0,16.0,
info,spec_max_amp_pct,5.0,5.0,5.0,
info,spec_max_phase_deg,5.0,5.0,5.0,
info,gain_in_spec,True,True,True,
info,phase_in_spec,True,True,True,
info,calper,1.0,1.0,1.0,
info,duration_s,9599.975,9599.975,9599.975,
info,pre_s,370.0,370.0,370.0,
info,post_s,370.0,370.0,370.0,
info,sampling_rate_sps,40.0,40.0,40.0,
info,windows,14.0,14.0,14.0,
info,timing error estimate [s],-6.6e-05,-6.6e-05,-6.6e-05,
info,timing error uncertainty [s],0.0,0.0,0.0,
info,gain error estimate [%],-0.2483,-0.2483,-0.2483,
info,gain error uncertainty [%],0.002,0.002,0.002,
info,confidence [%],0.95,0.95,0.95,
info,output_units,V,V,V,V
info,input_units,m/s,m/s,m/s,m/s
info,calan,1.2.6+16.gf77cfec.dirty,1.2.6+16.gf77cfec.dirty,1.2.6+16.gf77cfec.dirty,1.2.6+16.gf77cfec.dirty
pole_01,real_rad,-0.036706,-0.036737,-0.0367238,-0.036614
pole_01,freq_hz,0.00825241,0.00824866,0.00825032,0.00829128
pole_01,imag_rad,-0.0366229,-0.0365584,-0.0365865,-0.037059
pole_01,damping,0.707907,0.708828,0.70843,0.702823
pole_2,real_rad,-30.3953,-30.7367,-27.0867,-32.55
pole_2,freq_hz,4.83757,4.8919,4.31099,5.18049
pole_2,imag_rad,,,,
pole_2,damping,,,,
pole_3,real_rad,-140.436,-139.009,-143.674,-142.0
pole_3,freq_hz,22.3511,22.1239,22.8664,22.6
pole_3,imag_rad,,,,
pole_3,damping,,,,
pole_45,real_rad,-364.0,-364.0,-364.0,-364.0
pole_45,freq_hz,86.5475,86.5475,86.5475,86.5475
pole_45,imag_rad,-404.0,-404.0,-404.0,-404.0
pole_45,damping,0.669371,0.669371,0.669371,0.669371
pole_6,real_rad,-1260.0,-1260.0,-1260.0,-1260.0
pole_6,freq_hz,200.535,200.535,200.535,200.535
pole_6,imag_rad,,,,
pole_6,damping,,,,
pole_78,real_rad,-4900.0,-4900.0,-4900.0,-4900.0
pole_78,freq_hz,1137.15,1137.15,1137.15,1137.15
pole_78,imag_rad,-5200.0,-5200.0,-5200.0,-5200.0
pole_78,damping,0.685801,0.685801,0.685801,0.685801
pole_910,real_rad,-7100.0,-7100.0,-7100.0,-7100.0
pole_910,freq_hz,1161.94,1161.94,1161.94,1161.94
pole_910,imag_rad,-1700.0,-1700.0,-1700.0,-1700.0
pole_910,damping,0.972511,0.972511,0.972511,0.972511
zero_0,real_rad,0.0,0.0,0.0,0.0
zero_0,freq_hz,0.0,0.0,0.0,0.0
zero_1,real_rad,0.0,0.0,0.0,0.0
zero_1,freq_hz,0.0,0.0,0.0,0.0
zero_2,real_rad,-29.5781,-29.9288,-26.5222,-31.63
zero_2,freq_hz,4.7075,4.76331,4.22114,5.03407
zero_3,real_rad,-160.0,-160.0,-160.0,-160.0
zero_3,freq_hz,25.4648,25.4648,25.4648,25.4648
zero_4,real_rad,-350.0,-350.0,-350.0,-350.0
zero_4,freq_hz,55.7042,55.7042,55.7042,55.7042
zero_5,real_rad,-3177.0,-3177.0,-3177.0,-3177.0
zero_5,freq_hz,505.635,505.635,505.635,505.635
f_norm,hz,1.0,1.0,1.0,1.0
sensitivity,V/(m/s),1199.56,1199.68,1199.75,1200.0
