type,subtype,0,1,2
info,start,2020-06-24 19:45:15,2020-01-10 15:29:32.450000,
info,trace_id,XX.YKAT1..SHZ,XX.YKAT1..SHZ,XX.YKAT1..SHC
info,waveform_file,PRB_+30.19_Output.mseed,PRB_-36.00_Output.mseed,
info,response_file,XX.YKAT1.xml,XX.YKAT1.xml,XX.YKAT1.xml
info,delay_start,0.0,0.0,
info,spec_min_freq_hz,0.02,0.02,
info,spec_max_freq_hz,16.0,16.0,
info,spec_max_amp_pct,5.0,5.0,
info,spec_max_phase_deg,5.0,5.0,
info,gain_in_spec,False,False,
info,phase_in_spec,True,False,
info,calper,0.25,0.25,
info,duration_s,604.0,604.0,
info,pre_s,0.0,0.0,
info,post_s,0.0,0.0,
info,sampling_rate_sps,40.0,40.0,
info,windows,23.0,23.0,
info,timing error estimate [s],5e-06,0.000326,
info,timing error uncertainty [s],2.2e-05,3.7e-05,
info,gain error estimate [%],-2.7858,10.9608,
info,gain error uncertainty [%],0.0863,0.2123,
info,confidence [%],0.95,0.95,
info,output_units,V,V,V
info,input_units,m/s,m/s,m/s
info,calan,1.2.6+16.gf77cfec.dirty,1.2.6+16.gf77cfec.dirty,1.2.6+16.gf77cfec.dirty
pole_01,real_rad,-4.13739,-4.58,-3.9172
pole_01,freq_hz,0.990868,0.980207,1.00001
pole_01,imag_rad,-4.65217,-4.11761,-4.9127
pole_01,damping,0.664554,0.743649,0.623437
pole_2,real_rad,-408.66,-422.354,-420.97
pole_2,freq_hz,65.0403,67.2198,66.9995
pole_2,imag_rad,,,
pole_2,damping,,,
zero_0,real_rad,0.0,0.0,0.0
zero_0,freq_hz,0.0,0.0,0.0
zero_1,real_rad,0.0,0.0,0.0
zero_1,freq_hz,0.0,0.0,0.0
f_norm,hz,4.0,4.0,4.0
sensitivity,V/(m/s),15156.1,17384.8,15646.9
