begin IMS2.0
msg_type COMMAND_RESPONSE
msg_id CAL_2020_1_YKAT1_cr
ref_id CAL_2020_1_YKAT1_cs
time_stamp 2023/01/21 00:56

sta_list YKAT1
chan_list SHZ
CALIBRATE_RESULT
CALIB 0.008881
CALPER 0.1
in_spec NO
data_type RESPONSE IMS2.0
CAL2 YKAT1 SHZ      S-13    8.88100085e-03   0.100    40.00000 2020/01/10 15:29 2020/01/10 15:39
FAP2  1 V         0.000 799 Input units: m/s         
    0.04000  1.10084122e-01  179
    0.06000  2.45190856e-01  178
    0.08000  4.19728102e-01  173
    0.10000  6.95384947e-01  172
    0.12000  9.66857795e-01  170
    0.14000  1.32859744e+00  169
    0.16000  1.71669863e+00  166
    0.18000  2.18986188e+00  163
    0.20000  2.70257678e+00  162
    0.22000  3.27555882e+00  160
    0.24000  3.87098398e+00  158
    0.26000  4.50229702e+00  157
    0.28000  5.26122121e+00  155
    0.30000  5.96116262e+00  153
    0.32000  6.83093333e+00  151
    0.34000  7.64690538e+00  149
    0.36000  8.66441785e+00  147
    0.38000  9.48974290e+00  146
    0.40000  1.04417514e+01  144
    0.42000  1.15319987e+01  142
    0.44000  1.25425758e+01  140
    0.46000  1.37015636e+01  138
    0.48000  1.49568941e+01  136
    0.50000  1.59478517e+01  134
    0.52000  1.71803356e+01  132
    0.54000  1.83463451e+01  130
    0.56000  1.96114612e+01  128
    0.58000  2.08364941e+01  126
    0.60000  2.19540336e+01  124
    0.62000  2.33543386e+01  122
    0.64000  2.46181019e+01  120
    0.66000  2.59067484e+01  118
    0.68000  2.71615451e+01  116
    0.70000  2.83497341e+01  115
    0.72000  2.97238083e+01  112
    0.74000  3.07202122e+01  111
    0.76000  3.21035719e+01  108
    0.78000  3.33553920e+01  107
    0.80000  3.46281650e+01  105
    0.82000  3.55449137e+01  103
    0.84000  3.66654008e+01  101
    0.86000  3.77975049e+01   99
    0.88000  3.90629430e+01   97
    0.90000  3.99472382e+01   96
    0.92000  4.08921701e+01   94
    0.94000  4.17590152e+01   93
    0.96000  4.30617025e+01   91
    0.98000  4.38476127e+01   89
    1.00000  4.46820858e+01   88
    1.02000  4.54720288e+01   86
    1.04000  4.62262299e+01   85
    1.06000  4.70132915e+01   83
    1.08000  4.77907863e+01   82
    1.10000  4.84182409e+01   80
    1.12000  4.91888232e+01   79
    1.14000  4.99564403e+01   77
    1.16000  5.05295508e+01   76
    1.18000  5.11653758e+01   75
    1.20000  5.16177749e+01   74
    1.22000  5.20650869e+01   73
    1.24000  5.27474510e+01   71
    1.26000  5.32725259e+01   70
    1.28000  5.34993891e+01   69
    1.30000  5.38944342e+01   68
    1.32000  5.45852446e+01   67
    1.34000  5.51255929e+01   66
    1.36000  5.54403877e+01   65
    1.38000  5.57042154e+01   63
    1.40000  5.61192915e+01   63
    1.42000  5.65015890e+01   62
    1.44000  5.68126240e+01   61
    1.46000  5.72206225e+01   60
    1.48000  5.73273506e+01   59
    1.50000  5.77067398e+01   58
    1.52000  5.78752177e+01   57
    1.54000  5.80190993e+01   57
    1.56000  5.84095192e+01   56
    1.58000  5.86412057e+01   55
    1.60000  5.88238608e+01   54
    1.62000  5.90285117e+01   54
    1.64000  5.92343228e+01   53
    1.66000  5.93923131e+01   52
    1.68000  5.96122985e+01   51
    1.70000  5.98636374e+01   51
    1.72000  6.00564862e+01   50
    1.74000  6.00561202e+01   50
    1.76000  6.01262193e+01   49
    1.78000  6.03693288e+01   48
    1.80000  6.05909436e+01   48
    1.82000  6.06638840e+01   47
    1.84000  6.08779707e+01   46
    1.86000  6.10396272e+01   46
    1.88000  6.11641489e+01   45
    1.90000  6.12480588e+01   45
    1.92000  6.12928222e+01   44
    1.94000  6.13882212e+01   44
    1.96000  6.16928472e+01   43
    1.98000  6.14869231e+01   43
    2.00000  6.15824595e+01   42
    2.02000  6.16494179e+01   42
    2.04000  6.17221282e+01   41
    2.06000  6.19454456e+01   41
    2.08000  6.20117071e+01   40
    2.10000  6.19947182e+01   40
    2.12000  6.22713584e+01   40
    2.14000  6.22044847e+01   39
    2.16000  6.21699310e+01   39
    2.18000  6.23840418e+01   38
    2.20000  6.25164325e+01   38
    2.22000  6.23680143e+01   38
    2.24000  6.24207489e+01   37
    2.26000  6.25749959e+01   37
    2.28000  6.26912839e+01   37
    2.30000  6.27098359e+01   36
    2.32000  6.26592836e+01   36
    2.34000  6.29164816e+01   35
    2.36000  6.30579928e+01   35
    2.38000  6.29648708e+01   35
    2.40000  6.29553324e+01   34
    2.42000  6.30028094e+01   34
    2.44000  6.31744050e+01   34
    2.46000  6.31366474e+01   33
    2.48000  6.30775905e+01   33
    2.50000  6.31992496e+01   33
    2.52000  6.34485034e+01   32
    2.54000  6.33969237e+01   32
    2.56000  6.34399601e+01   32
    2.58000  6.33741617e+01   32
    2.60000  6.34775582e+01   31
    2.62000  6.35141460e+01   31
    2.64000  6.34337696e+01   31
    2.66000  6.35381885e+01   30
    2.68000  6.34521910e+01   30
    2.70000  6.35949563e+01   30
    2.72000  6.35777153e+01   30
    2.74000  6.35297704e+01   29
    2.76000  6.35801648e+01   29
    2.78000  6.35976179e+01   29
    2.80000  6.36802601e+01   29
    2.82000  6.37495727e+01   29
    2.84000  6.38301600e+01   28
    2.86000  6.37414356e+01   28
    2.88000  6.37782918e+01   28
    2.90000  6.37592327e+01   28
    2.92000  6.38015517e+01   27
    2.94000  6.37671849e+01   27
    2.96000  6.37898237e+01   27
    2.98000  6.39450230e+01   27
    3.00000  6.38920621e+01   27
    3.02000  6.39012128e+01   26
    3.04000  6.39161998e+01   26
    3.06000  6.39445735e+01   26
    3.08000  6.40536736e+01   26
    3.10000  6.41835875e+01   25
    3.12000  6.40298771e+01   25
    3.14000  6.41263376e+01   25
    3.16000  6.41898416e+01   25
    3.18000  6.41463489e+01   25
    3.20000  6.40649993e+01   24
    3.22000  6.41859755e+01   24
    3.24000  6.42117270e+01   24
    3.26000  6.42017586e+01   24
    3.28000  6.41261315e+01   24
    3.30000  6.41236707e+01   23
    3.32000  6.42519551e+01   23
    3.34000  6.43689364e+01   23
    3.36000  6.41309293e+01   23
    3.38000  6.41759568e+01   23
    3.40000  6.43798855e+01   23
    3.42000  6.43497887e+01   23
    3.44000  6.42561532e+01   22
    3.46000  6.43511757e+01   22
    3.48000  6.42347332e+01   22
    3.50000  6.41525347e+01   22
    3.52000  6.42739320e+01   22
    3.54000  6.44152241e+01   22
    3.56000  6.43563205e+01   21
    3.58000  6.42841581e+01   21
    3.60000  6.44476983e+01   21
    3.62000  6.44094458e+01   21
    3.64000  6.44125024e+01   21
    3.66000  6.44117575e+01   21
    3.68000  6.44758457e+01   20
    3.70000  6.44616350e+01   20
    3.72000  6.43189539e+01   20
    3.74000  6.44071414e+01   20
    3.76000  6.45272108e+01   20
    3.78000  6.46003750e+01   20
    3.80000  6.46417261e+01   20
    3.82000  6.46280735e+01   19
    3.84000  6.46834342e+01   19
    3.86000  6.44845324e+01   19
    3.88000  6.44028515e+01   19
    3.90000  6.45274889e+01   19
    3.92000  6.45251784e+01   19
    3.94000  6.44901107e+01   19
    3.96000  6.45255770e+01   19
    3.98000  6.45487356e+01   18
    4.00000  6.44751442e+01   18
    4.02000  6.46592649e+01   18
    4.04000  6.46734223e+01   18
    4.06000  6.47129045e+01   18
    4.08000  6.46760560e+01   18
    4.10000  6.46009918e+01   18
    4.12000  6.45869982e+01   18
    4.14000  6.45586530e+01   17
    4.16000  6.46447193e+01   17
    4.18000  6.47305151e+01   17
    4.20000  6.47127750e+01   17
    4.22000  6.45713786e+01   17
    4.24000  6.46105496e+01   17
    4.26000  6.46127652e+01   17
    4.28000  6.47080673e+01   17
    4.30000  6.47521234e+01   17
    4.32000  6.46607017e+01   16
    4.34000  6.46406776e+01   16
    4.36000  6.47248886e+01   16
    4.38000  6.47488734e+01   16
    4.40000  6.48023843e+01   16
    4.42000  6.47176571e+01   16
    4.44000  6.47322437e+01   16
    4.46000  6.48463300e+01   16
    4.48000  6.48923449e+01   16
    4.50000  6.47664892e+01   16
    4.52000  6.47547944e+01   15
    4.54000  6.48282285e+01   15
    4.56000  6.48280229e+01   15
    4.58000  6.49695338e+01   15
    4.60000  6.48633717e+01   15
    4.62000  6.47971633e+01   15
    4.64000  6.48360971e+01   15
    4.66000  6.48496727e+01   15
    4.68000  6.47603848e+01   15
    4.70000  6.47912111e+01   15
    4.72000  6.47942001e+01   14
    4.74000  6.48265371e+01   14
    4.76000  6.48559051e+01   14
    4.78000  6.47879684e+01   14
    4.80000  6.48783298e+01   14
    4.82000  6.48542397e+01   14
    4.84000  6.48754019e+01   14
    4.86000  6.48963603e+01   14
    4.88000  6.49718672e+01   14
    4.90000  6.48617632e+01   14
    4.92000  6.49219376e+01   14
    4.94000  6.49490424e+01   13
    4.96000  6.48208652e+01   13
    4.98000  6.48488745e+01   13
    5.00000  6.49262200e+01   13
    5.02000  6.49418890e+01   13
    5.04000  6.49612585e+01   13
    5.06000  6.49807038e+01   13
    5.08000  6.49710975e+01   13
    5.10000  6.49482129e+01   13
    5.12000  6.49697553e+01   13
    5.14000  6.49410499e+01   13
    5.16000  6.49100287e+01   13
    5.18000  6.49745847e+01   12
    5.20000  6.50483513e+01   12
    5.22000  6.49681434e+01   12
    5.24000  6.48733616e+01   12
    5.26000  6.50800831e+01   12
    5.28000  6.48018804e+01   12
    5.30000  6.48827901e+01   12
    5.32000  6.50404095e+01   12
    5.34000  6.49695228e+01   12
    5.36000  6.48853910e+01   12
    5.38000  6.49467916e+01   12
    5.40000  6.48922969e+01   12
    5.42000  6.49633848e+01   12
    5.44000  6.49464029e+01   11
    5.46000  6.49636392e+01   11
    5.48000  6.50097313e+01   11
    5.50000  6.49441382e+01   11
    5.52000  6.49538262e+01   11
    5.54000  6.49699006e+01   11
    5.56000  6.50218540e+01   11
    5.58000  6.50507816e+01   11
    5.60000  6.49869120e+01   11
    5.62000  6.50703621e+01   11
    5.64000  6.49526222e+01   11
    5.66000  6.49164385e+01   11
    5.68000  6.49929008e+01   10
    5.70000  6.49981427e+01   10
    5.72000  6.49662106e+01   10
    5.74000  6.49813570e+01   10
    5.76000  6.49459384e+01   10
    5.78000  6.49474204e+01   10
    5.80000  6.49486252e+01   10
    5.82000  6.50015010e+01   10
    5.84000  6.49866910e+01   10
    5.86000  6.50834305e+01   10
    5.88000  6.49939139e+01   10
    5.90000  6.50294158e+01   10
    5.92000  6.51365772e+01   10
    5.94000  6.49664448e+01    9
    5.96000  6.50096935e+01   10
    5.98000  6.50414233e+01    9
    6.00000  6.50362873e+01    9
    6.02000  6.49078916e+01    9
    6.04000  6.49790873e+01    9
    6.06000  6.50669662e+01    9
    6.08000  6.50119711e+01    9
    6.10000  6.50684685e+01    9
    6.12000  6.49402443e+01    9
    6.14000  6.49502211e+01    9
    6.16000  6.49906226e+01    9
    6.18000  6.49794843e+01    9
    6.20000  6.49486216e+01    9
    6.22000  6.49513535e+01    9
    6.24000  6.49202694e+01    9
    6.26000  6.50116565e+01    9
    6.28000  6.50317917e+01    9
    6.30000  6.50360657e+01    8
    6.32000  6.50367065e+01    8
    6.34000  6.48794173e+01    8
    6.36000  6.48995373e+01    8
    6.38000  6.50358998e+01    8
    6.40000  6.50727706e+01    8
    6.42000  6.49934177e+01    8
    6.44000  6.49043226e+01    8
    6.46000  6.49355902e+01    8
    6.48000  6.49824619e+01    8
    6.50000  6.50656631e+01    8
    6.52000  6.49875118e+01    8
    6.54000  6.49213083e+01    8
    6.56000  6.50501528e+01    8
    6.58000  6.50079387e+01    8
    6.60000  6.50015617e+01    8
    6.62000  6.49924469e+01    7
    6.64000  6.48958413e+01    7
    6.66000  6.49463047e+01    7
    6.68000  6.49584082e+01    7
    6.70000  6.50029729e+01    7
    6.72000  6.50312768e+01    7
    6.74000  6.50377506e+01    7
    6.76000  6.49501897e+01    7
    6.78000  6.48438425e+01    7
    6.80000  6.50064219e+01    7
    6.82000  6.48536798e+01    7
    6.84000  6.50026737e+01    7
    6.86000  6.50335026e+01    7
    6.88000  6.49825146e+01    7
    6.90000  6.48321580e+01    7
    6.92000  6.49414147e+01    7
    6.94000  6.51475415e+01    7
    6.96000  6.49908812e+01    7
    6.98000  6.49452783e+01    6
    7.00000  6.49779182e+01    6
    7.02000  6.49226281e+01    6
    7.04000  6.49063678e+01    6
    7.06000  6.50208391e+01    6
    7.08000  6.49409533e+01    6
    7.10000  6.50083194e+01    6
    7.12000  6.48661972e+01    6
    7.14000  6.48653452e+01    6
    7.16000  6.50357176e+01    6
    7.18000  6.49813556e+01    6
    7.20000  6.50274783e+01    6
    7.22000  6.48331372e+01    6
    7.24000  6.49139376e+01    6
    7.26000  6.47942948e+01    6
    7.28000  6.47856768e+01    6
    7.30000  6.49212254e+01    6
    7.32000  6.49456521e+01    6
    7.34000  6.49851913e+01    6
    7.36000  6.50832314e+01    5
    7.38000  6.49772196e+01    5
    7.40000  6.50412293e+01    5
    7.42000  6.49207115e+01    5
    7.44000  6.49612339e+01    5
    7.46000  6.48976765e+01    5
    7.48000  6.48108509e+01    5
    7.50000  6.49225651e+01    5
    7.52000  6.49197311e+01    5
    7.54000  6.48983279e+01    5
