begin IMS2.0
msg_type COMMAND_RESPONSE
msg_id CAL_2020_1_YKAT1_cr
ref_id CAL_2020_1_YKAT1_cs
time_stamp 2023/01/17 18:37

sta_list YKAT1
chan_list SHZ
CALIBRATE_RESULT
CALIB 4.322784328099949e-09
CALPER 0.1
in_spec NO
data_type RESPONSE IMS2.0
CAL2 YKAT1 SHZ      S-13    4.32278433e-09   0.100    40.00000 2020/06/24 19:45 2020/06/24 19:55
FAP2  1 V         0.000 799 Input units: m/s         
    0.04000  2.09207537e+05   -5
    0.06000  4.76402669e+05   -4
    0.08000  8.99953223e+05   -7
    0.10000  1.34590067e+06   -8
    0.12000  1.89308813e+06   -9
    0.14000  2.60481982e+06  -11
    0.16000  3.40741374e+06  -13
    0.18000  4.39702533e+06  -14
    0.20000  5.38025134e+06  -16
    0.22000  6.56899444e+06  -17
    0.24000  7.71074622e+06  -19
    0.26000  9.11386648e+06  -21
    0.28000  1.05544957e+07  -23
    0.30000  1.22177689e+07  -24
    0.32000  1.38398593e+07  -26
    0.34000  1.57343545e+07  -28
    0.36000  1.75374373e+07  -29
    0.38000  1.93797988e+07  -31
    0.40000  2.15508404e+07  -33
    0.42000  2.40440160e+07  -35
    0.44000  2.61265081e+07  -36
    0.46000  2.85418100e+07  -38
    0.48000  3.11094193e+07  -40
    0.50000  3.35345592e+07  -42
    0.52000  3.60612749e+07  -44
    0.54000  3.93401570e+07  -46
    0.56000  4.18319616e+07  -48
    0.58000  4.45872991e+07  -50
    0.60000  4.74747286e+07  -52
    0.62000  5.03360328e+07  -54
    0.64000  5.29374433e+07  -56
    0.66000  5.60985829e+07  -58
    0.68000  5.91884298e+07  -61
    0.70000  6.21450330e+07  -62
    0.72000  6.49070268e+07  -64
    0.74000  6.79271116e+07  -67
    0.76000  7.09085185e+07  -69
    0.78000  7.35610093e+07  -71
    0.80000  7.68599195e+07  -73
    0.82000  7.94596922e+07  -75
    0.84000  8.18154004e+07  -77
    0.86000  8.40575691e+07  -79
    0.88000  8.68839969e+07  -81
    0.90000  8.96766193e+07  -83
    0.92000  9.21400571e+07  -85
    0.94000  9.40662314e+07  -86
    0.96000  9.63819064e+07  -88
    0.98000  9.85396430e+07  -90
    1.00000  1.00639473e+08  -92
    1.02000  1.02386259e+08  -93
    1.04000  1.03808739e+08  -95
    1.06000  1.05794316e+08  -97
    1.08000  1.07692469e+08  -99
    1.10000  1.09196812e+08 -100
    1.12000  1.10726276e+08 -102
    1.14000  1.12269395e+08 -103
    1.16000  1.12883117e+08 -105
    1.18000  1.14508548e+08 -106
    1.20000  1.15517802e+08 -107
    1.22000  1.16659899e+08 -109
    1.24000  1.17554987e+08 -110
    1.26000  1.18351114e+08 -112
    1.28000  1.19347605e+08 -113
    1.30000  1.20289604e+08 -114
    1.32000  1.21042472e+08 -115
    1.34000  1.21628781e+08 -116
    1.36000  1.22206523e+08 -117
    1.38000  1.22983862e+08 -118
    1.40000  1.23312374e+08 -119
    1.42000  1.24124394e+08 -120
    1.44000  1.24876581e+08 -122
    1.46000  1.25309106e+08 -122
    1.48000  1.25610996e+08 -124
    1.50000  1.25683147e+08 -124
    1.52000  1.26516085e+08 -125
    1.54000  1.26776494e+08 -126
    1.56000  1.27077763e+08 -127
    1.58000  1.27236296e+08 -128
    1.60000  1.27431983e+08 -128
    1.62000  1.27912309e+08 -129
    1.64000  1.27877053e+08 -130
    1.66000  1.28481761e+08 -131
    1.68000  1.28649583e+08 -131
    1.70000  1.28832769e+08 -132
    1.72000  1.29218397e+08 -133
    1.74000  1.29099477e+08 -133
    1.76000  1.29545423e+08 -134
    1.78000  1.29507162e+08 -135
    1.80000  1.29632073e+08 -135
    1.82000  1.29744503e+08 -136
    1.84000  1.29935861e+08 -137
    1.86000  1.30153471e+08 -137
    1.88000  1.30128016e+08 -138
    1.90000  1.30262326e+08 -138
    1.92000  1.30464036e+08 -139
    1.94000  1.30350481e+08 -139
    1.96000  1.30744794e+08 -140
    1.98000  1.30889338e+08 -140
    2.00000  1.30710725e+08 -141
    2.02000  1.30626138e+08 -141
    2.04000  1.30842357e+08 -142
    2.06000  1.31125471e+08 -142
    2.08000  1.30942960e+08 -143
    2.10000  1.30829964e+08 -143
    2.12000  1.31098444e+08 -143
    2.14000  1.31312025e+08 -144
    2.16000  1.31306294e+08 -144
    2.18000  1.31075793e+08 -145
    2.20000  1.31306550e+08 -145
    2.22000  1.31407338e+08 -145
    2.24000  1.31216381e+08 -146
    2.26000  1.31241089e+08 -146
    2.28000  1.31365217e+08 -146
    2.30000  1.31319820e+08 -147
    2.32000  1.31322775e+08 -147
    2.34000  1.31429711e+08 -148
    2.36000  1.31649367e+08 -148
    2.38000  1.31632083e+08 -148
    2.40000  1.31548761e+08 -148
    2.42000  1.31273494e+08 -149
    2.44000  1.31630597e+08 -149
    2.46000  1.31566416e+08 -149
    2.48000  1.31331276e+08 -150
    2.50000  1.31486624e+08 -150
    2.52000  1.31514276e+08 -150
    2.54000  1.31717623e+08 -151
    2.56000  1.31530020e+08 -151
    2.58000  1.31431689e+08 -151
    2.60000  1.31451090e+08 -151
    2.62000  1.31677703e+08 -152
    2.64000  1.31728851e+08 -152
    2.66000  1.31781520e+08 -152
    2.68000  1.31699929e+08 -152
    2.70000  1.31585837e+08 -153
    2.72000  1.31838905e+08 -153
    2.74000  1.31917088e+08 -153
    2.76000  1.31650037e+08 -153
    2.78000  1.31525951e+08 -154
    2.80000  1.31658493e+08 -154
    2.82000  1.31474665e+08 -154
    2.84000  1.31539163e+08 -154
    2.86000  1.31645748e+08 -155
    2.88000  1.31282464e+08 -155
    2.90000  1.31617635e+08 -155
    2.92000  1.31734108e+08 -155
    2.94000  1.31671081e+08 -155
    2.96000  1.31634034e+08 -156
    2.98000  1.31862536e+08 -156
    3.00000  1.31461438e+08 -156
    3.02000  1.31662354e+08 -156
    3.04000  1.31519585e+08 -156
    3.06000  1.31894030e+08 -157
    3.08000  1.31508059e+08 -157
    3.10000  1.31657496e+08 -157
    3.12000  1.31617552e+08 -157
    3.14000  1.31765438e+08 -157
    3.16000  1.31859811e+08 -158
    3.18000  1.31954530e+08 -158
    3.20000  1.31780536e+08 -158
    3.22000  1.31669384e+08 -158
    3.24000  1.31833931e+08 -158
    3.26000  1.31543721e+08 -158
    3.28000  1.31800857e+08 -159
    3.30000  1.31780212e+08 -159
    3.32000  1.31722496e+08 -159
    3.34000  1.31712141e+08 -159
    3.36000  1.31803603e+08 -159
    3.38000  1.31715423e+08 -159
    3.40000  1.31627408e+08 -160
    3.42000  1.31877981e+08 -160
    3.44000  1.31663383e+08 -160
    3.46000  1.31645949e+08 -160
    3.48000  1.31870272e+08 -160
    3.50000  1.31682414e+08 -160
    3.52000  1.31763653e+08 -160
    3.54000  1.31776317e+08 -161
    3.56000  1.31851546e+08 -161
    3.58000  1.31909389e+08 -161
    3.60000  1.31769331e+08 -161
    3.62000  1.31910949e+08 -161
    3.64000  1.31826137e+08 -161
    3.66000  1.31628628e+08 -161
    3.68000  1.31767767e+08 -162
    3.70000  1.31834913e+08 -162
    3.72000  1.31892256e+08 -162
    3.74000  1.31599364e+08 -162
    3.76000  1.31861746e+08 -162
    3.78000  1.31753907e+08 -162
    3.80000  1.31879419e+08 -162
    3.82000  1.31852917e+08 -163
    3.84000  1.31808753e+08 -163
    3.86000  1.31690257e+08 -163
    3.88000  1.31789680e+08 -163
    3.90000  1.31776579e+08 -163
    3.92000  1.31813681e+08 -163
    3.94000  1.31769217e+08 -163
    3.96000  1.31790941e+08 -163
    3.98000  1.31808146e+08 -163
    4.00000  1.31898167e+08 -164
    4.02000  1.31931045e+08 -164
    4.04000  1.32001218e+08 -164
    4.06000  1.31733297e+08 -164
    4.08000  1.31705183e+08 -164
    4.10000  1.31913909e+08 -164
    4.12000  1.31820622e+08 -164
    4.14000  1.31812016e+08 -164
    4.16000  1.31788822e+08 -164
    4.18000  1.31719462e+08 -165
    4.20000  1.31746802e+08 -165
    4.22000  1.31789865e+08 -165
    4.24000  1.31749343e+08 -165
    4.26000  1.31919688e+08 -165
    4.28000  1.31836553e+08 -165
    4.30000  1.31872954e+08 -165
    4.32000  1.31967079e+08 -165
    4.34000  1.31923402e+08 -165
    4.36000  1.31955321e+08 -165
    4.38000  1.32112521e+08 -166
    4.40000  1.31779905e+08 -166
    4.42000  1.31942382e+08 -166
    4.44000  1.31866833e+08 -166
    4.46000  1.31868914e+08 -166
    4.48000  1.32063915e+08 -166
    4.50000  1.31790675e+08 -166
    4.52000  1.31787613e+08 -166
    4.54000  1.31872197e+08 -166
    4.56000  1.31999827e+08 -166
    4.58000  1.32133391e+08 -167
    4.60000  1.31781120e+08 -167
    4.62000  1.31855838e+08 -167
    4.64000  1.31868959e+08 -167
    4.66000  1.31810760e+08 -167
    4.68000  1.31901441e+08 -167
    4.70000  1.32013673e+08 -167
    4.72000  1.32018267e+08 -167
    4.74000  1.31925920e+08 -167
    4.76000  1.31941951e+08 -167
    4.78000  1.31881318e+08 -167
    4.80000  1.31955027e+08 -167
    4.82000  1.32117715e+08 -168
    4.84000  1.31983188e+08 -168
    4.86000  1.31978392e+08 -168
    4.88000  1.32014675e+08 -168
    4.90000  1.32040763e+08 -168
    4.92000  1.32056350e+08 -168
    4.94000  1.32043269e+08 -168
    4.96000  1.32033648e+08 -168
    4.98000  1.31930697e+08 -168
    5.00000  1.32008448e+08 -168
    5.02000  1.32172334e+08 -168
    5.04000  1.31987252e+08 -168
    5.06000  1.31938795e+08 -169
    5.08000  1.32056161e+08 -169
    5.10000  1.32045592e+08 -169
    5.12000  1.32062277e+08 -169
    5.14000  1.32090258e+08 -169
    5.16000  1.32126119e+08 -169
    5.18000  1.32191440e+08 -169
    5.20000  1.32351696e+08 -169
    5.22000  1.32050209e+08 -169
    5.24000  1.32083197e+08 -169
    5.26000  1.32159241e+08 -169
    5.28000  1.31994509e+08 -169
    5.30000  1.32057905e+08 -169
    5.32000  1.32185551e+08 -169
    5.34000  1.32202595e+08 -170
    5.36000  1.32197813e+08 -170
    5.38000  1.32083600e+08 -170
    5.40000  1.32185200e+08 -170
    5.42000  1.32166560e+08 -170
    5.44000  1.32284211e+08 -170
    5.46000  1.32185179e+08 -170
    5.48000  1.31943450e+08 -170
    5.50000  1.31985460e+08 -170
    5.52000  1.32093945e+08 -170
    5.54000  1.32244092e+08 -170
    5.56000  1.32138824e+08 -170
    5.58000  1.32118184e+08 -170
    5.60000  1.32180932e+08 -170
    5.62000  1.32061209e+08 -171
    5.64000  1.32132866e+08 -171
    5.66000  1.32153477e+08 -171
    5.68000  1.32228218e+08 -171
    5.70000  1.32136163e+08 -171
    5.72000  1.32014000e+08 -171
    5.74000  1.32184620e+08 -171
    5.76000  1.32121286e+08 -171
    5.78000  1.32107121e+08 -171
    5.80000  1.32287656e+08 -171
    5.82000  1.32164113e+08 -171
    5.84000  1.32250276e+08 -171
    5.86000  1.32258458e+08 -171
    5.88000  1.32270082e+08 -171
    5.90000  1.32095558e+08 -171
    5.92000  1.32158010e+08 -172
    5.94000  1.32287020e+08 -172
    5.96000  1.32164127e+08 -172
    5.98000  1.32132546e+08 -172
    6.00000  1.32242005e+08 -172
    6.02000  1.32125759e+08 -172
    6.04000  1.32250766e+08 -172
    6.06000  1.32243271e+08 -172
    6.08000  1.32200311e+08 -172
    6.10000  1.32135035e+08 -172
    6.12000  1.32207588e+08 -172
    6.14000  1.32323448e+08 -172
    6.16000  1.32307104e+08 -172
    6.18000  1.32281075e+08 -172
    6.20000  1.32256116e+08 -172
    6.22000  1.32331884e+08 -172
    6.24000  1.32374355e+08 -173
    6.26000  1.32216599e+08 -173
    6.28000  1.32284755e+08 -173
    6.30000  1.32334502e+08 -173
    6.32000  1.32243649e+08 -173
    6.34000  1.32272138e+08 -173
    6.36000  1.32359885e+08 -173
    6.38000  1.32277944e+08 -173
    6.40000  1.32170658e+08 -173
    6.42000  1.32399811e+08 -173
    6.44000  1.32328721e+08 -173
    6.46000  1.32313067e+08 -173
    6.48000  1.32314606e+08 -173
    6.50000  1.32322639e+08 -173
    6.52000  1.32165045e+08 -173
    6.54000  1.32393648e+08 -173
    6.56000  1.32344506e+08 -173
    6.58000  1.32295006e+08 -173
    6.60000  1.32393354e+08 -174
    6.62000  1.32410411e+08 -174
    6.64000  1.32385259e+08 -174
    6.66000  1.32296008e+08 -174
    6.68000  1.32328019e+08 -174
    6.70000  1.32493072e+08 -174
    6.72000  1.32392927e+08 -174
    6.74000  1.32394813e+08 -174
    6.76000  1.32407970e+08 -174
    6.78000  1.32309167e+08 -174
    6.80000  1.32324689e+08 -174
    6.82000  1.32362007e+08 -174
    6.84000  1.32342103e+08 -174
