begin IMS2.0
msg_type COMMAND_RESPONSE
msg_id CAL_2020_1_YKAT1_cr
ref_id CAL_2020_1_YKAT1_cs
time_stamp 2022/11/30 19:09

sta_list YKAT1
chan_list SHZ
CALIBRATE_RESULT
CALIB 4.1927020719191555e-09
CALPER 0.1
in_spec NO
data_type RESPONSE IMS2.0
CAL2 YKAT1 SHZ      S-13    4.19270207e-09   0.100    40.00000 2020/05/27 20:00 2020/05/27 20:10
FAP2  1 V         0.000 799 Input units: m/s         
    0.04000  2.17291028e+05   -3
    0.06000  4.95752132e+05   -4
    0.08000  9.32411871e+05   -7
    0.10000  1.39578557e+06   -9
    0.12000  1.95742468e+06  -10
    0.14000  2.70669975e+06  -11
    0.16000  3.52604358e+06  -13
    0.18000  4.55256525e+06  -14
    0.20000  5.58860188e+06  -16
    0.22000  6.80500572e+06  -18
    0.24000  7.99712314e+06  -19
    0.26000  9.41556975e+06  -21
    0.28000  1.09103895e+07  -23
    0.30000  1.26334622e+07  -24
    0.32000  1.42941218e+07  -26
    0.34000  1.62508708e+07  -28
    0.36000  1.80967396e+07  -30
    0.38000  1.99750997e+07  -31
    0.40000  2.22513973e+07  -33
    0.42000  2.47755400e+07  -35
    0.44000  2.69043832e+07  -37
    0.46000  2.92743759e+07  -39
    0.48000  3.19438348e+07  -41
    0.50000  3.44367156e+07  -43
    0.52000  3.69735118e+07  -44
    0.54000  4.03577541e+07  -47
    0.56000  4.28557008e+07  -49
    0.58000  4.56780244e+07  -51
    0.60000  4.85371299e+07  -53
    0.62000  5.13550768e+07  -55
    0.64000  5.40222300e+07  -57
    0.66000  5.72089815e+07  -59
    0.68000  6.02105589e+07  -61
    0.70000  6.32754905e+07  -63
    0.72000  6.62482750e+07  -65
    0.74000  6.90526581e+07  -67
    0.76000  7.20679283e+07  -69
    0.78000  7.47465628e+07  -71
    0.80000  7.79169211e+07  -73
    0.82000  8.04642917e+07  -75
    0.84000  8.30506679e+07  -77
    0.86000  8.54444047e+07  -79
    0.88000  8.81460685e+07  -81
    0.90000  9.07655939e+07  -83
    0.92000  9.32232157e+07  -85
    0.94000  9.52400138e+07  -86
    0.96000  9.74826443e+07  -88
    0.98000  9.96918761e+07  -90
    1.00000  1.01945717e+08  -92
    1.02000  1.03476511e+08  -93
    1.04000  1.05011104e+08  -95
    1.06000  1.07198547e+08  -97
    1.08000  1.09085471e+08  -99
    1.10000  1.10476632e+08 -100
    1.12000  1.12170739e+08 -101
    1.14000  1.13553075e+08 -103
    1.16000  1.14383040e+08 -105
    1.18000  1.15981197e+08 -106
    1.20000  1.17241683e+08 -107
    1.22000  1.18255502e+08 -109
    1.24000  1.19146829e+08 -110
    1.26000  1.19858590e+08 -111
    1.28000  1.21015833e+08 -112
    1.30000  1.22055572e+08 -113
    1.32000  1.22873641e+08 -115
    1.34000  1.23599735e+08 -116
    1.36000  1.24159657e+08 -117
    1.38000  1.25126418e+08 -118
    1.40000  1.25411630e+08 -119
    1.42000  1.26302834e+08 -120
    1.44000  1.27091842e+08 -121
    1.46000  1.27555753e+08 -122
    1.48000  1.27851845e+08 -123
    1.50000  1.28122316e+08 -124
    1.52000  1.28945372e+08 -125
    1.54000  1.29216301e+08 -125
    1.56000  1.29480176e+08 -126
    1.58000  1.29676427e+08 -127
    1.60000  1.30098824e+08 -128
    1.62000  1.30517292e+08 -129
    1.64000  1.30550434e+08 -130
    1.66000  1.31199125e+08 -130
    1.68000  1.31342271e+08 -131
    1.70000  1.31601183e+08 -132
    1.72000  1.32193746e+08 -132
    1.74000  1.32038753e+08 -133
    1.76000  1.32411417e+08 -133
    1.78000  1.32403636e+08 -134
    1.80000  1.32708491e+08 -135
    1.82000  1.32827556e+08 -135
    1.84000  1.33042668e+08 -136
    1.86000  1.33244309e+08 -136
    1.88000  1.33177129e+08 -137
    1.90000  1.33338474e+08 -138
    1.92000  1.33592541e+08 -138
    1.94000  1.33508343e+08 -139
    1.96000  1.33966748e+08 -139
    1.98000  1.34120927e+08 -140
    2.00000  1.34048935e+08 -140
    2.02000  1.33903874e+08 -141
    2.04000  1.34161555e+08 -141
    2.06000  1.34435615e+08 -141
    2.08000  1.34309586e+08 -142
    2.10000  1.34161102e+08 -142
    2.12000  1.34461746e+08 -143
    2.14000  1.34667340e+08 -143
    2.16000  1.34707478e+08 -144
    2.18000  1.34587575e+08 -144
    2.20000  1.34763599e+08 -144
    2.22000  1.34882700e+08 -145
    2.24000  1.34722977e+08 -145
    2.26000  1.34831045e+08 -146
    2.28000  1.34924137e+08 -146
    2.30000  1.34941995e+08 -146
    2.32000  1.34988608e+08 -147
    2.34000  1.35054553e+08 -147
    2.36000  1.35307780e+08 -147
    2.38000  1.35310037e+08 -148
    2.40000  1.35119956e+08 -148
    2.42000  1.34925441e+08 -148
    2.44000  1.35372715e+08 -148
    2.46000  1.35342648e+08 -149
    2.48000  1.35183881e+08 -149
    2.50000  1.35290372e+08 -149
    2.52000  1.35316113e+08 -150
    2.54000  1.35530013e+08 -150
    2.56000  1.35342986e+08 -150
    2.58000  1.35362730e+08 -151
    2.60000  1.35410245e+08 -151
    2.62000  1.35475379e+08 -151
    2.64000  1.35500333e+08 -151
    2.66000  1.35501492e+08 -152
    2.68000  1.35578392e+08 -152
    2.70000  1.35546297e+08 -152
    2.72000  1.35594627e+08 -152
    2.74000  1.35708765e+08 -153
    2.76000  1.35508994e+08 -153
    2.78000  1.35530094e+08 -153
    2.80000  1.35694897e+08 -153
    2.82000  1.35515086e+08 -154
    2.84000  1.35556388e+08 -154
    2.86000  1.35703295e+08 -154
    2.88000  1.35439694e+08 -154
    2.90000  1.35693450e+08 -154
    2.92000  1.35812142e+08 -155
    2.94000  1.35552239e+08 -155
    2.96000  1.35612678e+08 -155
    2.98000  1.35830749e+08 -155
    3.00000  1.35356437e+08 -156
    3.02000  1.35632536e+08 -156
    3.04000  1.35527749e+08 -156
    3.06000  1.35864554e+08 -156
    3.08000  1.35559177e+08 -156
    3.10000  1.35764456e+08 -156
    3.12000  1.35727344e+08 -157
    3.14000  1.35765938e+08 -157
    3.16000  1.35928478e+08 -157
    3.18000  1.36010807e+08 -157
    3.20000  1.35848729e+08 -157
    3.22000  1.35795344e+08 -158
    3.24000  1.35890033e+08 -158
    3.26000  1.35652899e+08 -158
    3.28000  1.35839896e+08 -158
    3.30000  1.35850587e+08 -158
    3.32000  1.35820758e+08 -158
    3.34000  1.35786586e+08 -159
    3.36000  1.35853530e+08 -159
    3.38000  1.35910450e+08 -159
    3.40000  1.35814619e+08 -159
    3.42000  1.35999931e+08 -159
    3.44000  1.35901458e+08 -159
    3.46000  1.35848182e+08 -160
    3.48000  1.35950286e+08 -160
    3.50000  1.35764880e+08 -160
    3.52000  1.36002703e+08 -160
    3.54000  1.36046350e+08 -160
    3.56000  1.35977112e+08 -160
    3.58000  1.36071373e+08 -160
    3.60000  1.35947140e+08 -161
    3.62000  1.36166370e+08 -161
    3.64000  1.36049416e+08 -161
    3.66000  1.35850639e+08 -161
    3.68000  1.35928831e+08 -161
    3.70000  1.36060491e+08 -161
    3.72000  1.36117436e+08 -161
    3.74000  1.35837329e+08 -162
    3.76000  1.36089228e+08 -162
    3.78000  1.35982859e+08 -162
    3.80000  1.36095732e+08 -162
    3.82000  1.36045868e+08 -162
    3.84000  1.36070550e+08 -162
    3.86000  1.35949104e+08 -162
    3.88000  1.36011477e+08 -162
    3.90000  1.36019683e+08 -163
    3.92000  1.36064710e+08 -163
    3.94000  1.35978167e+08 -163
    3.96000  1.35987044e+08 -163
    3.98000  1.36054234e+08 -163
    4.00000  1.36164460e+08 -163
    4.02000  1.36208040e+08 -163
    4.04000  1.36334028e+08 -163
    4.06000  1.35951944e+08 -163
    4.08000  1.35967053e+08 -164
    4.10000  1.36213104e+08 -164
    4.12000  1.36116881e+08 -164
    4.14000  1.36125449e+08 -164
    4.16000  1.36074521e+08 -164
    4.18000  1.35977344e+08 -164
    4.20000  1.35982768e+08 -164
    4.22000  1.36062679e+08 -164
    4.24000  1.35994782e+08 -165
    4.26000  1.36210923e+08 -165
    4.28000  1.36184301e+08 -165
    4.30000  1.36184863e+08 -165
    4.32000  1.36257392e+08 -165
    4.34000  1.36234367e+08 -165
    4.36000  1.36202495e+08 -165
    4.38000  1.36347145e+08 -165
    4.40000  1.36085843e+08 -165
    4.42000  1.36245390e+08 -165
    4.44000  1.36200434e+08 -165
    4.46000  1.36174371e+08 -166
    4.48000  1.36335179e+08 -166
    4.50000  1.36064888e+08 -166
    4.52000  1.36107059e+08 -166
    4.54000  1.36201764e+08 -166
