station_code,gain 2015,rel. [%] 2016,rel. [%] 2017,rel. [%] 2018,rel. [%] 2019,drift [%] 2016,drift [%] 2017,drift [%] 2018,drift [%] 2019
YKAB0,0.288,-0.8,-1.1,-0.3,2.6,-0.2,0.4,1.0,0.5
YKAB1,0.287,2.5,1.4,2.2,5.7,0.9,0.8,1.4,1.4
YKAB2,0.292,2.4,1.3,2.2,5.6,0.7,0.6,1.2,1.2
YKAB3,0.284,2.8,1.8,2.4,4.9,2.1,2.1,2.5,1.9
YKAB4,0.292,1.2,0.5,1.0,3.0,2.4,2.5,2.8,1.7
YKAB6,0.297,1.8,0.6,1.8,4.4,0.9,0.7,1.6,1.1
YKAB7,0.315,4.5,3.3,4.3,7.1,0.8,0.6,1.3,1.4
YKAB8,0.295,1.0,-0.1,0.3,3.9,0.7,0.4,0.7,1.6
YKAB9,0.284,3.1,2.0,2.7,5.5,1.3,1.1,1.6,1.7
YKAR1,0.303,4.9,3.7,4.5,7.3,2.3,2.1,3.1,3.3
YKAR2,0.305,1.7,0.6,1.5,3.7,2.0,1.8,2.8,2.5
YKAR3,0.262,-9.2,-9.9,-9.3,-7.1,1.9,2.1,2.7,2.7
YKAR4,0.301,0.4,-0.7,0.1,2.5,1.7,1.7,2.5,2.7
YKAR5,0.288,0.6,-0.6,0.5,2.4,1.5,1.3,2.4,2.2
YKAR6,0.299,2.9,1.7,3.0,5.2,1.4,1.2,2.6,2.5
YKAR7,0.303,2.8,3.3,1.5,5.4,1.4,3.5,1.1,3.1
YKAR8,0.273,-0.2,-1.2,-0.6,1.7,2.1,2.1,2.8,3.1
YKAR9,0.292,2.6,1.6,2.6,4.5,1.1,1.0,2.2,2.1
