test name,channel id,start,duration [s],f_min [Hz],f_max [Hz],windows,gain [dB],phase [°],normalized error,temperature [°C],f_max [Hz] 
Indoor_1,.3082..HHZ,2019-04-12 00:43:38.000,291.975,0.2,20.0,115,-11.2466,-73.206,2.2e-05,4.2,20.0
Indoor_12,.3082..HHZ,2019-04-14 22:41:03.075,292.9,0.2,20.0,116,-11.2454,-73.206,2.1e-05,0.3,20.0
Indoor_2,.3082..HHZ,2019-04-15 00:32:18.000,292.0,0.2,20.0,115,-11.2446,-73.207,2.1e-05,-0.6,20.0
Indoor_13,.3082..HHZ,2019-04-15 19:33:47.000,292.975,0.2,20.0,116,-11.239,-73.198,2.2e-05,-4.7,20.0
Indoor_14,.3082..HHZ,2019-04-16 02:49:45.000,292.975,0.2,20.0,116,-11.2496,-73.218,2e-05,-5.8,20.0
Indoor_3,.3082..HHZ,2019-04-16 19:18:26.400,292.0,0.2,20.0,115,-11.2484,-73.223,2.1e-05,-4.0,20.0
Indoor_15,.3082..HHZ,2019-04-16 22:00:40.600,293.375,0.2,20.0,116,-11.248,-73.221,2.2e-05,-0.9,20.0
Indoor_4,.3082..HHZ,2019-04-17 21:47:57.300,292.0,0.2,20.0,115,-11.2543,-73.222,2.2e-05,6.7,20.0
Indoor_5,.3082..HHZ,2019-04-18 01:35:14.000,292.0,0.2,20.0,115,-11.2565,-73.226,2.2e-05,3.6,20.0
Indoor_16,.3082..HHZ,2019-04-28 20:37:50.450,292.525,0.2,20.0,116,-11.2559,-73.232,2.1e-05,-0.2,20.0
Indoor_6,.3082..HHZ,2019-04-28 22:18:30.600,292.0,0.2,20.0,115,-11.2504,-73.223,2.1e-05,0.9,20.0
Indoor_7,.3082..HHZ,2019-04-29 01:25:20.000,292.0,0.2,20.0,115,-11.2466,-73.217,2.1e-05,-1.6,20.0
Indoor_17,.3082..HHZ,2019-04-29 20:50:02.600,293.375,0.2,20.0,116,-11.253,-73.222,2.2e-05,-8.5,20.0
Indoor_8,.3082..HHZ,2019-05-01 01:19:53.300,292.0,0.2,20.0,115,-11.2551,-73.226,2.1e-05,-11.3,20.0
Indoor_9,.3082..HHZ,2019-05-05 19:12:06.000,292.0,0.2,20.0,115,-11.2529,-73.227,2e-05,2.4,20.0
Indoor_10,.3082..HHZ,2019-05-06 01:11:02.300,292.0,0.2,20.0,115,-11.2554,-73.23,2.1e-05,0.7,20.0
Indoor_18,.3082..HHZ,2019-05-06 19:16:58.600,293.375,0.2,20.0,116,-11.2548,-73.228,2.1e-05,4.4,20.0
Indoor_19,.3082..HHZ,2019-05-06 23:16:39.000,292.975,0.2,20.0,116,-11.2539,-73.228,2.1e-05,4.1,20.0
Indoor_20,.3082..HHZ,2019-05-07 00:48:19.550,292.425,0.2,20.0,115,-11.2534,-73.227,2e-05,3.8,20.0
Indoor_11,.3082..HHZ,2019-05-07 01:21:31.000,292.975,0.2,20.0,116,-11.2533,-73.226,2.1e-05,2.7,20.0
Indoor_21,.3082..HHZ,2019-05-07 19:12:25.000,292.975,0.2,20.0,116,-11.2558,-73.229,2.1e-05,8.1,20.0
Indoor_22,.3082..HHZ,2019-05-07 20:55:09.300,285.675,0.2,20.0,113,-11.2564,-73.227,2e-05,8.4,20.0
Indoor_23,.3082..HHZ,2019-05-08 01:31:09.300,293.675,0.2,20.0,116,-11.2593,-73.228,2.2e-05,7.7,20.0
Indoor_24,.3082..HHZ,2019-05-08 19:16:16.000,292.975,0.2,20.0,116,-11.2584,-73.23,2.1e-05,12.2,20.0
Indoor_25,.3082..HHZ,2019-05-08 20:44:43.300,293.675,0.2,20.0,116,-11.2585,-73.228,2.1e-05,12.6,20.0
Indoor_26,.3082..HHZ,2019-05-08 22:13:09.600,293.375,0.2,20.0,116,-11.2585,-73.229,2.1e-05,12.3,20.0
Indoor_27,.3082..HHZ,2019-05-09 01:15:24.450,292.525,0.2,20.0,116,-11.2591,-73.23,2e-05,8.3,20.0
Indoor_28,.3082..HHZ,2019-05-09 19:12:47.000,292.975,0.2,20.0,116,-11.2577,-73.231,2.1e-05,10.8,20.0
Indoor_29,.3082..HHZ,2019-05-10 01:05:27.600,292.375,0.2,20.0,115,-11.2582,-73.231,2.1e-05,8.4,20.0
Indoor_30,.3082..HHZ,2019-05-12 20:15:07.000,292.975,0.2,20.0,116,-11.2572,-73.23,2.2e-05,7.3,20.0
Indoor_31,.3082..HHZ,2019-05-14 02:25:43.000,292.975,0.2,20.0,116,-6.8146,-90.228,2.7e-05,2.6,20.0
Indoor_32,.3082..HHZ,2019-05-14 19:20:19.000,292.975,0.2,20.0,116,-11.2489,-73.232,2e-05,2.2,20.0
Indoor_33,.3082..HHZ,2019-05-15 00:35:58.600,292.375,0.2,20.0,115,-6.7755,-90.422,1.9e-05,1.6,20.0
Indoor_34,.3082..HHZ,2019-05-15 01:01:22.000,288.975,0.2,20.0,114,-6.7753,-90.422,2.1e-05,1.0,20.0
Indoor_35,.3082..HHZ,2019-05-16 21:12:48.000,292.975,0.2,20.0,116,-11.2544,-73.221,2.1e-05,6.8,20.0
Indoor_36,.3082..HHZ,2019-05-20 19:22:11.000,292.975,0.2,20.0,116,-11.256,-73.224,2.1e-05,18.1,20.0
Indoor_37,.3082..HHZ,2019-05-20 21:10:26.600,293.375,0.2,20.0,116,-11.2554,-73.223,2.1e-05,18.2,20.0
Indoor_38,.3082..HHZ,2019-05-21 20:38:16.300,293.675,0.2,20.0,116,-11.2547,-73.223,2.1e-05,11.8,20.0
