station_code,sensor_model,sensor_id,Kg,Rg,CDR,Rd,Km,M,Rm,f0,lambda_x,preamp_model,preamp_id,Kp,Kc,Rp,digitizer_model,digitizer_id,Si,Kd,So,Rc,Sg,lambda0,Sd,kappa_g,kappa_c,NCALPER,NCALIB0,gain0,NCALIB,gain_expected
YKNOM,S-13,nominal,629,3600,6300,6300,0.1975,5,23,1,,MAN-ELP-0110,nominal,40,8.692,200,CMG-DM24S3EAM,nominal,2.866e-06,2,4.24e-07,25.6558,400.273,0.636364,697837,-0.00162909,-0.00223443,0.25,0.00356115,0.290207,0.00352583,3.41207
YKAB0,S-13,2340,618.3,3754,6132,6132,0.1975,5,23,1,0.0075,MAN-ELP-0110,G18331,40,8.692,200,CMG-DM24S3EAM,A3292,2.868e-06,2,4.24e-07,25.6558,383.514,0.620271,697350,-0.00169233,-0.00229767,0.25,0.00371936,0.277862,0.003673,3.55449
YKAB1,S-13,2338,605.92,3729,5971,5971,0.1975,5,23,1,0.0212,MAN-ELP-0110,G18317,40,8.692,200,CMG-DM24S3EAM,A3085,2.87e-06,2,4.24e-07,25.6558,372.984,0.615567,696864,-0.00171082,-0.00231616,0.25,0.00382703,0.270045,0.00377656,3.65471
YKAB2,S-13,2342,613.32,3831,6158,6158,0.1975,5,23,1,0.0275,MAN-ELP-0110,G18338,40,8.692,200,CMG-DM24S3EAM,A3087,2.87e-06,2,4.24e-07,25.6558,378.098,0.616478,696864,-0.00170724,-0.00231258,0.25,0.00377526,0.273748,0.003726,3.60579
YKAB3,S-13,2343,607.6,3764,5910,5910,0.1975,5,23,1,0.0055,MAN-ELP-0110,G18318,40,8.692,200,CMG-DM24S3EAM,A3080,2.87e-06,2,4.24e-07,25.6558,371.192,0.610916,696864,-0.0017291,-0.00233444,0.25,0.0038455,0.268748,0.003792,3.66965
YKAB4,S-13,831,619.12,3646,6239,6239,0.1975,5,23,1,0.0195,MAN-ELP-0110,G18326,40,8.692,200,CMG-DM24S3EAM,A3180,2.869e-06,2,4.24e-07,25.6558,390.763,0.631158,697107,-0.00164955,-0.00225488,0.25,0.00365164,0.283016,0.00361246,3.49591
YKAB6,S-13,2345,620.79,3746,6277,6277,0.1975,5,23,1,0.0226,MAN-ELP-0110,G18335,40,8.692,200,CMG-DM24S3EAM,A3036,2.869e-06,2,4.24e-07,25.6558,388.776,0.62626,697107,-0.0016688,-0.00227414,0.25,0.0036703,0.281577,0.00362806,3.511
YKAB7,S-13,2347,639.15,3957,6665,6665,0.1975,5,23,1,0.0242,MAN-ELP-0110,G18337,40,8.692,200,CMG-DM24S3EAM,A3086,2.869e-06,2,4.24e-07,25.6558,401.048,0.627471,697107,-0.00166404,-0.00226937,0.25,0.00355798,0.290465,0.00351778,3.40428
YKAB8,S-13,2493,621.46,3761,6296,6296,0.1975,5,23,1,0.0234,MAN-ELP-0110,G18336,40,8.692,200,CMG-DM24S3EAM,A4549,2.873e-06,2,4.24e-07,25.6558,389.054,0.626032,696136,-0.0016697,-0.00227503,0.25,0.00367279,0.281386,0.00363032,3.5132
YKAB9,S-13,2348,601.74,3754,5886,5886,0.1975,5,23,1,0.0207,MAN-ELP-0110,G18320,40,8.692,200,CMG-DM24S3EAM,A3072,2.865e-06,2,4.24e-07,25.6558,367.411,0.610581,698080,-0.00173042,-0.00233575,0.25,0.00387831,0.266474,0.00382416,3.70078
YKAR1,S-13,1192,619.2,3774,6249,6249,0.1975,5,23,1,0.0233,MAN-ELP-0110,G18321,40,8.692,200,CMG-DM24S3EAM,A3079,2.867e-06,2,4.24e-07,25.6558,386.05,0.623466,697593,-0.00167978,-0.00228511,0.25,0.00369364,0.279798,0.00364948,3.53174
YKAR2,S-13,832,628.26,3591,6355,6355,0.1975,5,23,1,0.0112,MAN-ELP-0110,G18332,40,8.692,200,CMG-DM24S3EAM,A3076,2.867e-06,2,4.24e-07,25.6558,401.427,0.63895,697593,-0.00161893,-0.00222426,0.25,0.00355215,0.290942,0.0035184,3.40488
YKAR3,S-13,822,619.92,3790,6255,6255,0.1975,5,23,1,0.0219,MAN-ELP-0110,G18334,40,8.692,200,CMG-DM24S3EAM,A3073,2.867e-06,2,4.24e-07,25.6558,386.023,0.622698,697593,-0.0016828,-0.00228813,0.25,0.0036939,0.279778,0.00364929,3.53155
YKAR4,S-13,2474,626.6,3619,6407,6407,0.1975,5,23,1,0.0244,MAN-ELP-0110,G18333,40,8.692,200,CMG-DM24S3EAM,A3081,2.864e-06,2,4.24e-07,25.6558,400.422,0.639038,698324,-0.00161858,-0.00222392,0.25,0.00355734,0.290518,0.00352364,3.40995
YKAR5,S-13,2349,615.83,3762,6164,6164,0.1975,5,23,1,0.0205,MAN-ELP-0110,G18325,40,8.692,200,CMG-DM24S3EAM,A3077,2.869e-06,2,4.24e-07,25.6558,382.428,0.620995,697107,-0.00168949,-0.00229482,0.25,0.00373123,0.276979,0.00368517,3.56627
YKAR6,S-13,2350,616.95,3661,6211,6211,0.1975,5,23,1,0.0244,MAN-ELP-0110,G18324,40,8.692,200,CMG-DM24S3EAM,A3038,2.875e-06,2,4.24e-07,25.6558,388.156,0.629153,695652,-0.00165743,-0.00226276,0.25,0.00368385,0.280541,0.00364308,3.52554
