,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
info,level_0,2020-05-27 14:15:21,2020-05-27 17:10:55,2020-05-27 20:00:22.550000,2020-05-27 21:47:23,2020-06-19 20:06:59,2020-06-22 21:26:42,2020-06-24 19:45:15,2020-01-24 17:46:45,2020-01-21 22:01:42,2020-01-21 17:02:50,2020-01-20 15:48:33,2020-01-07 22:47:24,2020-01-15 22:32:07.450000,2020-01-15 20:40:01,2020-01-08 21:39:51,2020-01-08 20:26:06,2020-01-15 18:36:18,2020-01-15 18:14:14,2020-01-08 15:18:16,2020-01-08 17:45:03,2020-01-09 16:08:29.450000,2020-01-10 15:29:32.450000,
info,level_1,XX.YKAT1..SHZ,XX.YKAT1..SHZ,XX.YKAT1..SHZ,XX.YKAT1..SHZ,XX.YKAT1..SHZ,XX.YKAT1..SHZ,XX.YKAT1..SHZ,XX.YKAT1..SHZ,XX.YKAT1..SHZ,XX.YKAT1..SHZ,XX.YKAT1..SHZ,XX.YKAT1..SHZ,XX.YKAT1..SHZ,XX.YKAT1..SHZ,XX.YKAT1..SHZ,XX.YKAT1..SHZ,XX.YKAT1..SHZ,XX.YKAT1..SHZ,XX.YKAT1..SHZ,XX.YKAT1..SHZ,XX.YKAT1..SHZ,XX.YKAT1..SHZ,XX.YKAT1..SHC
info,waveform_file,PRB_+05.00_Output.mseed,PRB_+10.56_Output.mseed,PRB_+17.44_Output.mseed,PRB_+20.25_Output.mseed,PRB_+26.00_Output.mseed,PRB_+28.62_Output.mseed,PRB_+30.19_Output.mseed,PRB_-15.69_Output.mseed,PRB_-20.06_Output.mseed,PRB_-21.31_Output.mseed,PRB_-25.69_Output.mseed,PRB_-28.81_Output.mseed,PRB_-31.00_Output.mseed,PRB_-31.62_Output.mseed,PRB_-32.25_Output.mseed,PRB_-33.19_Output.mseed,PRB_-33.5_Output.mseed,PRB_-33.81_Output.mseed,PRB_-34.12_Output.mseed,PRB_-34.44_Output.mseed,PRB_-35.69_Output.mseed,PRB_-36.00_Output.mseed,
info,response_file,XX.YKAT1.xml,XX.YKAT1.xml,XX.YKAT1.xml,XX.YKAT1.xml,XX.YKAT1.xml,XX.YKAT1.xml,XX.YKAT1.xml,XX.YKAT1.xml,XX.YKAT1.xml,XX.YKAT1.xml,XX.YKAT1.xml,XX.YKAT1.xml,XX.YKAT1.xml,XX.YKAT1.xml,XX.YKAT1.xml,XX.YKAT1.xml,XX.YKAT1.xml,XX.YKAT1.xml,XX.YKAT1.xml,XX.YKAT1.xml,XX.YKAT1.xml,XX.YKAT1.xml,XX.YKAT1.xml
info,delay_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
info,spec_min_freq_hz,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
info,spec_max_freq_hz,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,
info,spec_max_amp_pct,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
info,spec_max_phase_deg,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
info,gain_in_spec,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
info,phase_in_spec,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,
info,calper,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,
info,duration_s,603.975,603.975,604.0,603.975,604.0,603.975,604.0,602.975,603.975,603.975,603.55,603.975,604.0,603.975,603.975,603.975,604.0,603.55,603.6,603.975,604.0,604.0,
info,pre_s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.4,0.0,0.0,0.0,
info,post_s,0.025,0.025,0.0,0.025,0.0,0.025,0.0,1.025,0.025,0.025,0.0,0.025,0.0,0.025,0.025,0.025,0.0,0.0,0.0,0.025,0.0,0.0,
info,sampling_rate_sps,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,
info,windows,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,
info,timing error estimate [s],8.3e-05,6.9e-05,2.9e-05,-0.000601,1.9e-05,-2.2e-05,5e-06,0.000207,0.000239,0.00024,0.000271,0.000284,0.000311,0.00032,0.000314,0.000315,0.000326,0.000329,0.000323,0.000325,0.00033,0.000326,
info,timing error uncertainty [s],2.5e-05,2.5e-05,2.3e-05,0.000133,2.4e-05,2.1e-05,2.2e-05,3.1e-05,3.3e-05,3.3e-05,3.5e-05,3.6e-05,3.7e-05,3.8e-05,3.7e-05,3.7e-05,3.8e-05,3.8e-05,3.7e-05,3.8e-05,3.8e-05,3.7e-05,
info,gain error estimate [%],1.8223,1.4494,0.0979,24.3958,-2.2452,-3.0606,-2.7858,6.4891,7.5572,7.6803,8.5757,9.0905,10.2367,10.4302,10.5479,10.66,10.7387,10.7554,10.6622,10.7226,11.0292,10.9608,
info,gain error uncertainty [%],0.1167,0.1119,0.102,1.6661,0.0927,0.0812,0.0863,0.1616,0.1725,0.1742,0.1913,0.1946,0.2045,0.2113,0.2065,0.2097,0.2118,0.2118,0.2076,0.2106,0.2099,0.2123,
info,confidence [%],0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,
info,output_units,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
info,input_units,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
info,package_version,calan v0.0.0,calan v0.0.0,calan v0.0.0,calan v0.0.0,calan v0.0.0,calan v0.0.0,calan v0.0.0,calan v0.0.0,calan v0.0.0,calan v0.0.0,calan v0.0.0,calan v0.0.0,calan v0.0.0,calan v0.0.0,calan v0.0.0,calan v0.0.0,calan v0.0.0,calan v0.0.0,calan v0.0.0,calan v0.0.0,calan v0.0.0,calan v0.0.0,calan v0.0.0
pole_01,real_rad,-4.29489,-4.27427,-4.2218,-0.657102,-4.17114,-4.12435,-4.13739,-4.44743,-4.48772,-4.48628,-4.51314,-4.52979,-4.56736,-4.57405,-4.5787,-4.58108,-4.58323,-4.57716,-4.57747,-4.58519,-4.58437,-4.58,-3.9172
pole_01,freq_hz,0.99355,0.993035,0.989185,0.983979,0.99031,0.991097,0.990868,0.989011,0.989766,0.989428,0.979571,0.974846,0.977998,0.978067,0.977717,0.978675,0.979104,0.979123,0.97886,0.97924,0.980374,0.980207,1.00001
pole_01,imag_rad,-4.53042,-4.54543,-4.56131,-6.14751,-4.61721,-4.66565,-4.65217,-4.34003,-4.30522,-4.30365,-4.1849,-4.1229,-4.1109,-4.10411,-4.09562,-4.10199,-4.10363,-4.11058,-4.10776,-4.10272,-4.1143,-4.11761,-4.9127
