,,0,1
info,level_0,2020-01-10 15:29:32.450000,
info,level_1,XX.YKAT1..SHZ,XX.YKAT1..SHC
info,waveform_file,../temperature/PRB_-36.00_Output.mseed,
info,response_file,XX.YKAT1.xml,XX.YKAT1.xml
info,delay_start,0.0,
info,spec_min_freq_hz,0.02,
info,spec_max_freq_hz,16.0,
info,spec_max_amp_pct,5.0,
info,spec_max_phase_deg,5.0,
info,gain_in_spec,False,
info,phase_in_spec,False,
info,calper,0.25,
info,duration_s,604.0,
info,pre_s,0.0,
info,post_s,0.0,
info,sampling_rate_sps,40.0,
info,windows,23.0,
info,timing error estimate [s],-0.002023,
info,timing error uncertainty [s],3.6e-05,
info,gain error estimate [%],9.827,
info,gain error uncertainty [%],0.2226,
info,confidence [%],0.95,
info,output_units,V,V
info,input_units,m/s,m/s
info,package_version,calan v0.0.0,calan v0.0.0
pole_01,real_rad,-4.32089,-3.9172
pole_01,freq_hz,0.966612,1.00001
pole_01,imag_rad,-4.26803,-4.9127
pole_01,damping,0.711445,0.623437
zero_0,real_rad,0.0,0.0
zero_0,freq_hz,0.0,0.0
zero_1,real_rad,0.0,0.0
zero_1,freq_hz,0.0,0.0
f_norm,hz,4.0,4.0
sensitivity,V/(m/s),424.583,391.87
