test name,channel id,start,duration [s],f_min [Hz],f_max [Hz],windows,gain [dB],phase [°],normalized error,temperature [°C],f_max [Hz] 
2015\Sine\YKA_R1,.3079..HHZ,2015-11-23 16:28:19.000,287.975,0.2,20.0,114,-10.37,-72.4,9.5e-06,-23.9,20.0
2015\Sine\YKA_R2,.3076..HHZ,2015-11-23 17:05:05.300,287.675,0.2,20.0,114,-10.32,-72.0,8.9e-06,-22.7,20.0
2015\Sine\YKA_R3,.3073..HHZ,2015-11-23 17:28:49.000,154.0,0.2,20.0,60,-11.63,-72.6,1.1e-06,-22.7,20.0
2015\Sine\YKA_R4,.3081..HHZ,2015-11-23 17:57:07.300,167.675,0.2,20.0,66,-10.43,107.6,1.9e-05,-22.7,20.0
2015\Sine\YKA_R5,.3077..HHZ,2015-11-23 18:15:48.600,288.375,0.2,20.0,114,-10.81,107.6,1.6e-05,-21.0,20.0
2015\Sine\YKA_R6,.3038..HHZ,2015-11-23 18:35:51.000,292.975,0.2,20.0,116,-10.5,-72.3,1.4e-05,-21.0,20.0
2015\Sine\YKA_R7,.3074..HHZ,2015-11-23 18:52:25.600,292.375,0.2,20.0,115,-10.37,-71.9,1e-05,-21.0,20.0
2015\Sine\YKA_R8,.2165..HHZ,2015-11-23 19:03:01.600,292.375,0.2,20.0,115,-11.29,-72.6,1.3e-05,-19.8,20.0
2015\Sine\YKA_R9,.3291..HHZ,2015-11-23 19:13:41.000,292.975,0.2,20.0,116,-10.7,-72.1,1.6e-05,-19.8,20.0
2015\Sine\YKA_B1,.3085..HHZ,2015-11-23 19:25:58.600,287.375,0.2,20.0,113,-10.83,-72.3,1.6e-05,-19.8,20.0
2015\Sine\YKA_B2,.3087..HHZ,2015-11-23 19:36:11.400,287.575,0.2,20.0,114,-10.7,-72.2,2e-05,-19.8,20.0
2015\Sine\YKA_B3,.3080..HHZ,2015-11-23 19:48:33.000,292.975,0.2,20.0,116,-10.94,-72.4,1.3e-05,-19.8,20.0
2015\Sine\YKA_B6,.3036..HHZ,2015-11-23 20:12:49.000,292.975,0.2,20.0,116,-10.55,-72.0,1.5e-05,-19.1,20.0
2015\Sine\YKA_B7,.3086..HHZ,2015-11-23 20:25:08.000,288.975,0.2,20.0,114,-10.04,107.9,1.6e-05,-19.1,20.0
2015\Sine\YKA_B8,.3028..HHZ,2015-11-23 20:36:14.000,287.975,0.2,20.0,114,-10.6,-71.9,1.4e-05,-19.1,20.0
2015\Sine\YKA_B9,.3072..HHZ,2015-11-23 20:47:24.600,287.375,0.2,20.0,113,-10.93,-72.3,1.4e-05,-19.1,20.0
2015\Sine\YKA_B0,.3292..HHZ,2015-11-23 21:00:05.000,218.975,0.2,20.0,86,-10.8,-72.5,1e-06,-18.4,20.0
2015\Sine\YKA_B4,.3180..HHZ,2015-11-23 23:29:52.000,288.975,0.2,20.0,114,-10.69,-72.3,1.4e-05,-18.9,20.0
2016\Sine\YKA_R1,.3079..HHZ,2016-11-14 16:50:42.600,288.375,0.2,20.0,114,-10.56,-72.7,1.1e-05,-4.5,20.0
2016\Sine\YKA_R2,.3076..HHZ,2016-11-14 18:07:27.000,293.975,0.2,20.0,116,-10.51,-72.3,1.2e-05,-4.5,20.0
2016\Sine\YKA_R3,.3073..HHZ,2016-11-14 18:12:24.000,291.975,0.2,20.0,115,-11.81,-72.9,1e-05,-4.5,20.0
2016\Sine\YKA_R4,.3081..HHZ,2016-11-14 18:20:21.600,292.375,0.2,20.0,115,-10.64,-72.8,1.3e-05,-4.5,20.0
2016\Sine\YKA_R5,.3077..HHZ,2016-11-14 18:37:15.600,293.375,0.2,20.0,116,-11.01,107.2,1.8e-05,-4.5,20.0
2016\Sine\YKA_R6,.3038..HHZ,2016-11-14 18:50:56.000,287.975,0.2,20.0,114,-10.71,-72.5,1.5e-05,-4.5,20.0
2016\Sine\YKA_R7,.3074..HHZ,2016-11-14 19:09:21.000,292.975,0.2,20.0,116,-10.58,-72.5,1.1e-05,-4.4,20.0
2016\Sine\YKA_R8,.2165..HHZ,2016-11-14 19:20:35.000,292.975,0.2,20.0,116,-11.41,107.1,1.4e-05,-4.4,20.0
2016\Sine\YKA_R9,.3291..HHZ,2016-11-14 19:28:48.000,293.975,0.2,20.0,116,-10.91,-72.5,1.6e-05,-4.4,20.0
2016\Sine\YKA_B1,.3085..HHZ,2016-11-14 19:38:43.000,292.975,0.2,20.0,116,-11.06,107.3,1.6e-05,-4.4,20.0
2016\Sine\YKA_B2,.3087..HHZ,2016-11-14 19:46:29.600,293.375,0.2,20.0,116,-10.95,107.4,1.9e-05,-4.4,20.0
2016\Sine\YKA_B3,.3080..HHZ,2016-11-14 20:00:05.000,159.975,0.2,20.0,63,-11.07,107.4,2.6e-06,-4.0,20.0
2016\Sine\YKA_B4,.3180..HHZ,2016-11-14 20:06:34.500,288.475,0.2,20.0,114,-10.78,107.5,1.2e-05,-4.0,20.0
2016\Sine\YKA_B6,.3036..HHZ,2016-11-14 20:15:36.000,288.975,0.2,20.0,114,-10.77,-72.4,1.4e-05,-4.0,20.0
2016\Sine\YKA_B7,.3086..HHZ,2016-11-14 20:23:37.000,288.975,0.2,20.0,114,-10.27,107.5,1.5e-05,-4.0,20.0
2016\Sine\YKA_B8,.4549..HHZ,2016-11-14 20:31:12.200,287.775,0.2,20.0,114,-10.84,-72.3,1.5e-05,-4.0,20.0
2016\Sine\YKA_B9,.3072..HHZ,2016-11-14 20:45:14.450,288.525,0.2,20.0,114,-11.12,107.3,1.3e-05,-4.0,20.0
2016\Sine\YKA_B0,.3292..HHZ,2016-11-14 20:53:46.000,286.975,0.2,20.0,113,-11.1,-73.7,1.5e-05,-4.0,20.0
2017\Sine\YKA_R1,.3079..HHZ,2017-10-10 20:42:10.000,291.975,0.2,20.0,115,-10.66,-72.8,1.2e-05,-0.2,20.0
2017\Sine\YKA_B4,.3180..HHZ,2017-10-10 20:45:01.450,292.525,0.2,20.0,116,-10.84,-72.6,1.4e-05,-0.2,20.0
2017\Sine\YKA_R8,.2165..HHZ,2017-10-10 20:46:02.200,292.775,0.2,20.0,116,-11.49,-73.0,1.4e-05,-0.2,20.0
2017\Sine\YKA_R9,.3291..HHZ,2017-10-10 20:47:49.000,292.975,0.2,20.0,116,-11.0,-72.6,1.7e-05,-0.2,20.0
2017\Sine\YKA_R2,.3076..HHZ,2017-10-10 21:02:56.000,292.975,0.2,20.0,116,-10.61,-72.5,1.6e-05,0.0,20.0
2017\Sine\YKA_R3,.3073..HHZ,2017-10-10 21:05:00.600,293.375,0.2,20.0,116,-11.88,-72.9,1.3e-05,0.0,20.0
2017\Sine\YKA_R4,.3081..HHZ,2017-10-10 21:09:45.000,292.975,0.2,20.0,116,-10.73,-72.9,1.4e-05,0.0,20.0
2017\Sine\YKA_R5,.3077..HHZ,2017-10-10 21:11:37.600,292.375,0.2,20.0,115,-11.11,-73.0,2e-05,0.0,20.0
2017\Sine\YKA_R6,.3038..HHZ,2017-10-10 21:13:37.500,292.475,0.2,20.0,116,-10.81,107.3,1.6e-05,0.0,20.0
2017\Sine\YKA_B1,.3085..HHZ,2017-10-10 21:19:02.550,292.425,0.2,20.0,115,-11.15,107.2,1.7e-05,0.0,20.0
2017\Sine\YKA_B2,.3087..HHZ,2017-10-10 21:22:11.450,293.525,0.2,20.0,116,-11.04,-72.7,1.9e-05,0.0,20.0
2017\Sine\YKA_B3,.3080..HHZ,2017-10-10 21:24:06.000,291.975,0.2,20.0,115,-11.15,-72.8,1.5e-05,0.0,20.0
2017\Sine\YKA_B6,.3036..HHZ,2017-10-10 21:26:02.550,292.425,0.2,20.0,115,-10.87,107.4,1.5e-05,0.0,20.0
2017\Sine\YKA_B7,.3086..HHZ,2017-10-10 21:27:25.000,291.975,0.2,20.0,115,-10.37,-72.6,1.6e-05,0.0,20.0
2017\Sine\YKA_B8,.4549..HHZ,2017-10-10 21:29:33.000,292.975,0.2,20.0,116,-10.94,-72.5,1.6e-05,0.0,20.0
2017\Sine\YKA_B9,.3072..HHZ,2017-10-10 21:31:18.600,292.375,0.2,20.0,115,-11.21,107.2,1.5e-05,0.0,20.0
2017\Sine\YKA_B0,.3292..HHZ,2017-10-10 21:33:52.000,292.975,0.2,20.0,116,-11.13,-73.3,1.5e-05,0.0,20.0
2017\Sine\YKA_R7,.3074..HHZ,2017-10-11 19:08:24.600,287.375,0.2,20.0,113,-10.54,-73.5,4.2e-05,2.5,20.0
2018\Sine\YKA_B1,.3085..HHZ,2018-10-23 16:01:14.500,287.475,0.2,20.0,114,-11.08,107.3,1.6e-05,-1.0,20.0
2018\Sine\YKA_B2,.3087..HHZ,2018-10-23 16:12:44.500,288.475,0.2,20.0,114,-10.97,-72.6,1.9e-05,-1.0,20.0
2018\Sine\YKA_B3,.3080..HHZ,2018-10-23 16:23:53.400,287.575,0.2,20.0,114,-11.1,-72.7,1.3e-05,-1.0,20.0
2018\Sine\YKA_B4,.3180..HHZ,2018-10-23 16:25:37.000,287.975,0.2,20.0,114,-10.8,-72.5,1.3e-05,-1.0,20.0
2018\Sine\YKA_B6,.3036..HHZ,2018-10-23 16:28:07.350,288.625,0.2,20.0,114,-10.77,107.6,1.4e-05,-1.0,20.0
2018\Sine\YKA_B7,.3086..HHZ,2018-10-23 16:29:52.400,287.575,0.2,20.0,114,-10.29,-72.5,1.5e-05,-1.0,20.0
2018\Sine\YKA_B8,.4549..HHZ,2018-10-23 16:31:15.000,286.975,0.2,20.0,113,-10.9,-72.6,1.5e-05,-1.0,20.0
2018\Sine\YKA_B9,.3072..HHZ,2018-10-23 16:32:49.450,288.525,0.2,20.0,114,-11.15,107.3,1.4e-05,-1.0,20.0
2018\Sine\YKA_B0,.3292..HHZ,2018-10-23 16:34:16.250,287.725,0.2,20.0,114,-11.06,-73.1,1.4e-05,-1.0,20.0
2018\Sine\YKA_R1,.3079..HHZ,2018-10-23 17:20:34.000,287.975,0.2,20.0,114,-10.59,-72.7,1.2e-05,0.1,20.0
2018\Sine\YKA_R2,.3076..HHZ,2018-10-23 17:22:20.500,288.475,0.2,20.0,114,-10.53,-72.4,1.6e-05,0.1,20.0
2018\Sine\YKA_R3,.3073..HHZ,2018-10-23 17:23:47.000,287.975,0.2,20.0,114,-11.82,-73.0,1.1e-05,0.1,20.0
2018\Sine\YKA_R4,.3081..HHZ,2018-10-23 17:25:19.500,287.475,0.2,20.0,114,-10.66,-72.8,1.3e-05,0.1,20.0
2018\Sine\YKA_R5,.3077..HHZ,2018-10-23 17:26:34.450,287.525,0.2,20.0,114,-11.02,-72.8,1.9e-05,0.1,20.0
2018\Sine\YKA_R6,.3038..HHZ,2018-10-23 17:27:25.575,287.4,0.2,20.0,113,-10.7,-72.5,1.5e-05,0.1,20.0
2018\Sine\YKA_R7,.3074..HHZ,2018-10-23 17:28:30.150,287.825,0.2,20.0,114,-10.69,-73.2,1.1e-05,0.1,20.0
2018\Sine\YKA_R8,.2165..HHZ,2018-10-23 17:29:27.550,287.425,0.2,20.0,113,-11.44,107.0,1.4e-05,0.1,20.0
2018\Sine\YKA_R9,.3291..HHZ,2018-10-23 17:30:14.000,286.975,0.2,20.0,113,-10.91,-72.5,1.7e-05,0.1,20.0
2019\Sine\YKA_B0,.3292..HHZ,2019-03-06 16:01:55.000,287.975,0.2,20.0,114,-10.81,-72.6,1.2e-05,-15.9,20.0
2019\Sine\YKA_B1,.3085..HHZ,2019-03-06 16:20:42.000,280.0,0.2,20.0,111,-10.79,-72.2,1.2e-05,-15.9,20.0
2019\Sine\YKA_B2,.3087..HHZ,2019-03-06 16:40:10.000,288.975,0.2,20.0,114,-10.68,-72.1,2.1e-05,-15.9,20.0
2019\Sine\YKA_B3,.3080..HHZ,2019-03-06 17:00:12.000,288.975,0.2,20.0,114,-10.89,-72.3,1.3e-05,-14.3,20.0
2019\Sine\YKA_B4,.3180..HHZ,2019-03-06 17:20:10.000,287.975,0.2,20.0,114,-10.63,-72.2,1.2e-05,-14.3,20.0
2019\Sine\YKA_B6,.3036..HHZ,2019-03-06 17:40:10.000,287.975,0.2,20.0,114,-10.55,-72.1,1.6e-05,-14.3,20.0
2019\Sine\YKA_B7,.3086..HHZ,2019-03-06 18:00:26.000,288.975,0.2,20.0,114,-10.06,107.9,1.8e-05,-12.3,20.0
2019\Sine\YKA_B8,.4549..HHZ,2019-03-06 18:20:15.000,287.975,0.2,20.0,114,-10.6,-71.9,1.4e-05,-12.3,20.0
2019\Sine\YKA_B9,.3072..HHZ,2019-03-06 18:40:10.000,286.975,0.2,20.0,113,-10.92,107.7,1.5e-05,-12.3,20.0
2019\Sine\YKA_R1,.3079..HHZ,2019-03-06 19:00:13.000,287.975,0.2,20.0,114,-10.36,107.6,1.4e-05,-10.8,20.0
2019\Sine\YKA_R2,.3076..HHZ,2019-03-06 19:20:22.000,286.975,0.2,20.0,113,-10.34,-72.1,1.1e-05,-10.8,20.0
2019\Sine\YKA_R3,.3073..HHZ,2019-03-06 19:40:14.000,288.975,0.2,20.0,114,-11.61,-72.6,1.2e-05,-10.8,20.0
2019\Sine\YKA_R4,.3081..HHZ,2019-03-06 20:01:33.000,287.975,0.2,20.0,114,-10.46,-72.5,1.6e-05,-9.2,20.0
2019\Sine\YKA_R5,.3077..HHZ,2019-03-06 20:20:09.000,288.975,0.2,20.0,114,-10.85,107.5,2.1e-05,-9.2,20.0
2019\Sine\YKA_R6,.3038..HHZ,2019-03-06 20:40:33.000,287.975,0.2,20.0,114,-10.52,-72.3,1.8e-05,-9.2,20.0
2019\Sine\YKA_R7,.3074..HHZ,2019-03-06 21:00:22.000,287.975,0.2,20.0,114,-10.36,-71.9,1.6e-05,-8.4,20.0
2019\Sine\YKA_R8,.2165..HHZ,2019-03-06 21:20:11.000,287.975,0.2,20.0,114,-11.24,-72.6,1.5e-05,-8.4,20.0
2019\Sine\YKA_R9,.3291..HHZ,2019-03-06 21:40:26.000,286.975,0.2,20.0,113,-10.75,-72.2,2e-05,-8.4,20.0
