parameter,NCALIB,CALIB,CALIB,CALIB,CALIB,CALIB
year,nominal,2015,2016,2017,2018,2019
station_code
YKAB0,0.003719,0.0035690,0.0037163,0.0037525,0.0036998,0.0036024
YKAB1,0.003827,0.0035650,0.0036737,0.0036899,0.0036836,0.0035837
YKAB2,0.003775,0.0035210,0.0036528,0.0037008,0.0036379,0.0035247
YKAB3,0.003846,0.0036500,0.0036803,0.0037007,0.0036878,0.0036079
YKAB4,0.003652,0.0035340,0.0035802,0.0035677,0.0035938,0.0035114
YKAB6,0.003670,0.0034610,0.0035826,0.0036157,0.0035726,0.0034708
YKAB7,0.003558,0.0032690,0.0033768,0.0034207,0.0033587,0.0032974
YKAB8,0.003673,0.0034810,0.0035806,0.0036488,0.0036001,0.0034859
YKAB9,0.003878,0.0036110,0.0036907,0.0037646,0.0037180,0.0036163
YKAR1,0.003694,0.0034180,0.0034643,0.0034884,0.0034666,0.0033853
YKAR2,0.003552,0.0033750,0.0034509,0.0035063,0.0034715,0.0033827
YKAR3,0.003694,0.0038270,0.0039497,0.0040484,0.0040595,0.0039318
YKAR4,0.003557,0.0034100,0.0035156,0.0035433,0.0035265,0.0034397
YKAR5,0.003731,0.0035570,0.0036510,0.0036841,0.0036814,0.0036013
YKAR6,0.003684,0.0033880,0.0035116,0.0036017,0.0035438,0.0034528
YKAR7,0.003621,0.0033970,0.0034639,0.0035036,0.0035308,0.0033899
YKAR8,0.003881,0.0037880,0.0038004,0.0038522,0.0038658,0.0037518
YKAR9,0.003764,0.0035150,0.0036026,0.0036697,0.0036074,0.0035330
