station_code,sensor_model,sensor_id,Kg,Rg,CDR,Rd,Km,M,Rm,f0,lambda_x,preamp_model,preamp_id,Kp,Kc,Rp,digitizer_model,digitizer_id,Si,Kd,So
YKNOM,S-13,nominal,629,3600,6300,6300,0.1975,5,23,1,,MAN-ELP-0110,nominal,40,8.692,200,CMG-DM24S3EAM,nominal,0.000002866,2,0.000000424
YKAB0,S-13,2340,618.3,3754,6132,6132,0.1975,,,1,0.0075,MAN-ELP-0110,G18331,,,,CMG-DM24S3EAM,A3292,0.000002868,,0.000000424
YKAB1,S-13,2338,605.92,3729,5971,5971,0.1975,,,1,0.0212,MAN-ELP-0110,G18317,,,,CMG-DM24S3EAM,A3085,0.00000287,,0.000000424
YKAB2,S-13,2342,613.32,3831,6158,6158,0.1975,,,1,0.0275,MAN-ELP-0110,G18338,,,,CMG-DM24S3EAM,A3087,0.00000287,,0.000000424
YKAB3,S-13,2343,607.6,3764,5910,5910,0.1975,,,1,0.0055,MAN-ELP-0110,G18318,,,,CMG-DM24S3EAM,A3080,0.00000287,,0.000000424
YKAB4,S-13,831,619.12,3646,6239,6239,0.1975,,,1,0.0195,MAN-ELP-0110,G18326,,,,CMG-DM24S3EAM,A3180,0.000002869,,0.000000424
YKAB6,S-13,2345,620.79,3746,6277,6277,0.1975,,,1,0.0226,MAN-ELP-0110,G18335,,,,CMG-DM24S3EAM,A3036,0.000002869,,0.000000424
YKAB7,S-13,2347,639.15,3957,6665,6665,0.1975,,,1,0.0242,MAN-ELP-0110,G18337,,,,CMG-DM24S3EAM,A3086,0.000002869,,0.000000424
YKAB8,S-13,2493,621.46,3761,6296,6296,0.1975,,,1,0.0234,MAN-ELP-0110,G18336,,,,CMG-DM24S3EAM,A4549,0.000002873,,0.000000424
YKAB9,S-13,2348,601.74,3754,5886,5886,0.1975,,,1,0.0207,MAN-ELP-0110,G18320,,,,CMG-DM24S3EAM,A3072,0.000002865,,0.000000424
YKAR1,S-13,1192,619.2,3774,6249,6249,0.1975,,,1,0.0233,MAN-ELP-0110,G18321,,,,CMG-DM24S3EAM,A3079,0.000002867,,0.000000424
YKAR2,S-13,832,628.26,3591,6355,6355,0.1975,,,1,0.0112,MAN-ELP-0110,G18332,,,,CMG-DM24S3EAM,A3076,0.000002867,,0.000000424
YKAR3,S-13,822,619.92,3790,6255,6255,0.1975,,,1,0.0219,MAN-ELP-0110,G18334,,,,CMG-DM24S3EAM,A3073,0.000002867,,0.000000424
YKAR4,S-13,2474,626.6,3619,6407,6407,0.1975,,,1,0.0244,MAN-ELP-0110,G18333,,,,CMG-DM24S3EAM,A3081,0.000002864,,0.000000424
YKAR5,S-13,2349,615.83,3762,6164,6164,0.1975,,,1,0.0205,MAN-ELP-0110,G18325,,,,CMG-DM24S3EAM,A3077,0.000002869,,0.000000424
YKAR6,S-13,2350,616.95,3661,6211,6211,0.1975,,,1,0.0244,MAN-ELP-0110,G18324,,,,CMG-DM24S3EAM,A3038,0.000002875,,0.000000424
YKAR7,S-13,2911,618.86,3577,6252,6252,0.1975,,,1,0.0248,MAN-ELP-0110,G18329,,,,CMG-DM24S3EAM,A3074,0.000002866,,0.000000424
YKAR8,S-13,1466,600.25,3720,5860,5860,0.1975,,,1,0.0211,MAN-ELP-0110,G18330,,,,CMG-DM24S3EAM,A2165,0.000002865,,0.000000424
YKAR9,S-13,954,609.74,3688,6046,6046,0.1975,,,1,0.021,MAN-ELP-0110,G18322,,,,CMG-DM24S3EAM,A3291,0.000002866,,0.000000424
YKAT1,S-13,2567,621,3760,6225,6225,0.1975,,,1,0.0124,MAN-ELP-0110,G18319,,,,CMG-DM24S3EAM,A3082,0.000002864,,0.000000424
