test name,channel id,start,duration [s],f_min [Hz],f_max [Hz],windows,f_peak [Hz],gain [dB],phase [°],normalized error,temperature [°C],f_max [Hz] 
Outdoor_-26.31,.3082..HHZ,2020-01-07 21:07:49.500,293.475,0.2,20.0,116,4.0,-10.3665,-71.905,2.1e-05,-34.2,20.0
Outdoor_-34.44,.3082..HHZ,2020-01-08 16:39:23.600,293.375,0.2,20.0,116,4.0,-10.2323,-71.686,2e-05,-38.9,20.0
Outdoor_-32.25,.3082..HHZ,2020-01-08 22:36:44.000,292.975,0.2,20.0,116,4.0,-10.2525,-71.709,2.2e-05,-36.2,20.0
Outdoor_-35.69,.3082..HHZ,2020-01-09 15:19:21.300,293.675,0.2,20.0,116,4.0,-10.2069,-71.641,2e-05,-39.1,20.0
Outdoor_-36,.3082..HHZ,2020-01-10 16:30:46.000,292.975,0.2,20.0,116,4.0,-10.2059,-71.642,2e-05,-39.3,20.0
Outdoor_-33.81,.3082..HHZ,2020-01-10 21:12:58.000,293.975,0.2,20.0,116,12.0,-19.7233,-93.367,3.4e-05,-38.3,20.0
Outdoor_-34.75,.3082..HHZ,2020-01-14 15:25:32.600,293.375,0.2,20.0,116,4.0,-10.2078,-71.647,2.1e-05,-36.5,20.0
Outdoor_-31,.3082..HHZ,2020-01-15 21:46:57.000,292.975,0.2,20.0,116,4.0,-10.2634,-71.73,2.2e-05,-33.6,20.0
Outdoor_-35.69_2,.3082..HHZ,2020-01-16 15:11:36.300,293.675,0.2,20.0,116,4.0,-10.2042,-71.643,2e-05,-38.9,20.0
Outdoor_-36_2,.3082..HHZ,2020-01-16 16:44:21.550,293.425,0.2,20.0,116,4.0,-10.1997,-71.635,2e-05,-39.2,20.0
Outdoor_-35.38,.3082..HHZ,2020-01-16 18:24:49.000,292.975,0.2,20.0,116,4.0,-10.1968,-71.629,2.1e-05,-37.1,20.0
Outdoor_-32.56,.3082..HHZ,2020-01-16 20:26:31.000,292.975,0.2,20.0,116,4.0,-10.2193,-71.663,2.3e-05,-35.1,20.0
Outdoor_-31.94,.3082..HHZ,2020-01-16 21:24:18.450,293.525,0.2,20.0,116,4.0,-10.2346,-71.685,2.3e-05,-34.1,20.0
Outdoor_-27.88,.3082..HHZ,2020-01-17 15:17:42.450,293.525,0.2,20.0,116,4.0,-10.335,-71.854,2.2e-05,-28.2,20.0
Outdoor_-27.25,.3082..HHZ,2020-01-17 17:08:42.450,293.525,0.2,20.0,116,4.0,-10.3463,-71.871,2.2e-05,-27.2,20.0
Outdoor_-25.38,.3082..HHZ,2020-01-17 20:46:27.600,293.375,0.2,20.0,116,4.0,-10.3703,-71.897,2.2e-05,-25.6,20.0
Outdoor_-25.06,.3082..HHZ,2020-01-17 22:34:48.000,292.975,0.2,20.0,116,4.0,-10.3821,-71.914,2.2e-05,-25.9,20.0
Outdoor_-25.69,.3082..HHZ,2020-01-20 15:13:53.450,293.525,0.2,20.0,116,4.0,-10.4058,-71.957,2e-05,-25.6,20.0
Outdoor_-24.12,.3082..HHZ,2020-01-20 20:15:44.000,292.975,0.2,20.0,116,4.0,-10.3949,-71.927,2.2e-05,-24.1,20.0
Outdoor_-23.81,.3082..HHZ,2020-01-20 21:11:59.000,292.975,0.2,20.0,116,4.0,-10.4022,-71.939,2.2e-05,-23.8,20.0
Outdoor_-23.5,.3082..HHZ,2020-01-20 22:05:41.450,293.525,0.2,20.0,116,4.0,-10.408,-71.949,2.2e-05,-23.2,20.0
Outdoor_-21,.3082..HHZ,2020-01-21 15:15:48.300,293.675,0.2,20.0,116,4.0,-10.4751,-72.059,2.1e-05,-21.3,20.0
Outdoor_-21.31,.3082..HHZ,2020-01-21 16:42:21.550,293.425,0.2,20.0,116,4.0,-10.4732,-72.055,2.1e-05,-21.5,20.0
Outdoor_-20.38,.3082..HHZ,2020-01-21 20:22:17.000,292.975,0.2,20.0,116,4.0,-10.4779,-72.06,2.2e-05,-21.2,20.0
Outdoor_-20.06,.3082..HHZ,2020-01-21 21:05:25.000,292.975,0.2,20.0,116,4.0,-10.4802,-72.066,2.2e-05,-21.1,20.0
Outdoor_-23.19,.3082..HHZ,2020-01-22 15:21:03.000,292.975,0.2,20.0,116,4.0,-10.4107,-71.954,2.2e-05,-21.0,20.0
Outdoor_-22.56,.3082..HHZ,2020-01-22 16:15:28.000,292.975,0.2,20.0,116,4.0,-10.4182,-71.967,2.3e-05,-20.5,20.0
Outdoor_-19.12,.3082..HHZ,2020-01-22 20:31:13.450,293.525,0.2,20.0,116,4.0,-10.4725,-72.05,2.4e-05,-17.1,20.0
Outdoor_-18.5,.3082..HHZ,2020-01-22 22:13:22.000,292.975,0.2,20.0,116,4.0,-10.4955,-72.084,2.3e-05,-15.2,20.0
Outdoor_-18.19,.3082..HHZ,2020-01-23 20:20:13.450,293.525,0.2,20.0,116,4.0,-10.4879,-72.071,2.4e-05,-19.2,20.0
Outdoor_-17.56,.3082..HHZ,2020-01-23 21:18:23.000,293.975,0.2,20.0,116,4.0,-10.5032,-72.093,2.3e-05,-20.4,20.0
Outdoor_-17.88,.3082..HHZ,2020-01-23 21:52:07.000,292.975,0.2,20.0,116,4.0,-10.5095,-72.101,2.3e-05,-20.4,20.0
Outdoor_-15.69,.3082..HHZ,2020-01-24 16:39:38.450,293.525,0.2,20.0,116,4.0,-10.5722,-72.214,2.2e-05,-15.0,20.0
Outdoor_-15.06,.3082..HHZ,2020-01-24 21:17:26.000,287.975,0.2,20.0,114,4.0,-10.5843,-72.231,2.2e-05,-14.8,20.0
