test name,channel id,start,duration [s],f_min [Hz],f_max [Hz],windows,f_peak [Hz],gain [dB],phase [°],normalized error,temperature [°C],f_max [Hz] 
Outdoor_-12.5,.3082..HHZ,2019-12-03 15:16:57.300,292.675,0.2,20.0,116,4.0,-10.653,-72.408,2.1e-05,-13.2,20.0
Outdoor_-12.19,.3082..HHZ,2019-12-03 18:48:44.000,292.975,0.2,20.0,116,4.0,-10.6526,-72.407,2.1e-05,-13.9,20.0
Outdoor_-12.81,.3082..HHZ,2019-12-03 21:48:27.300,292.675,0.2,20.0,116,4.0,-10.6548,-72.409,2.1e-05,-14.7,20.0
Outdoor_-13.75,.3082..HHZ,2019-12-03 22:52:01.000,291.975,0.2,20.0,115,4.0,-10.6524,-72.412,2.1e-05,-15.7,20.0
Outdoor_-17.81,.3082..HHZ,2019-12-04 02:01:51.450,292.525,0.2,20.0,116,4.0,-10.6196,-72.384,1.9e-05,-21.2,20.0
Outdoor_-25.62,.3082..HHZ,2019-12-04 15:18:28.000,291.975,0.2,20.0,115,4.0,-10.4538,-72.163,1.9e-05,-30.8,20.0
Outdoor_-26.25,.3082..HHZ,2019-12-04 17:44:23.300,292.675,0.2,20.0,116,4.0,-10.4303,-72.128,1.9e-05,-30.5,20.0
Outdoor_-24.69,.3082..HHZ,2019-12-04 18:50:27.450,292.525,0.2,20.0,116,4.0,-10.4243,-72.112,2.1e-05,-28.8,20.0
Outdoor_-23.75,.3082..HHZ,2019-12-04 20:44:35.600,293.375,0.2,20.0,116,4.0,-10.429,-72.108,2.2e-05,-28.9,20.0
Outdoor_-25.00,.3082..HHZ,2019-12-04 22:31:50.000,292.975,0.2,20.0,116,4.0,-10.4333,-72.121,2.1e-05,-30.4,20.0
Outdoor_-23.12,.3082..HHZ,2019-12-05 15:16:21.450,293.525,0.2,20.0,116,4.0,-10.4424,-72.128,2.1e-05,-25.9,20.0
Outdoor_-22.81,.3082..HHZ,2019-12-05 16:51:53.600,293.375,0.2,20.0,116,4.0,-10.4472,-72.134,2.2e-05,-25.8,20.0
Outdoor_-22.810,.3082..HHZ,2019-12-05 20:33:26.600,292.375,0.2,20.0,115,4.0,-10.4588,-72.147,2.1e-05,-26.7,20.0
Outdoor_-23.44,.3082..HHZ,2019-12-05 21:45:46.600,293.375,0.2,20.0,116,4.0,-10.4607,-72.151,2.1e-05,-27.0,20.0
Outdoor_-24.690,.3082..HHZ,2019-12-05 22:53:11.000,292.975,0.2,20.0,116,4.0,-10.457,-72.155,2e-05,-27.9,20.0
Outdoor_-27.19,.3082..HHZ,2019-12-06 15:15:25.450,293.525,0.2,20.0,116,4.0,-10.3823,-72.051,2.1e-05,-29.1,20.0
Outdoor_-26.250,.3082..HHZ,2019-12-06 17:54:56.000,292.975,0.2,20.0,116,4.0,-10.3833,-72.05,2.1e-05,-27.1,20.0
Outdoor_-25,.3082..HHZ,2019-12-06 18:45:55.600,293.375,0.2,20.0,116,4.0,-10.3871,-72.05,2.2e-05,-24.9,20.0
Outdoor_-22.8100,.3082..HHZ,2019-12-06 20:18:27.000,292.975,0.2,20.0,116,4.0,-10.4022,-72.062,2.3e-05,-22.6,20.0
Outdoor_-21.88,.3082..HHZ,2019-12-06 21:30:24.000,292.0,0.2,20.0,115,12.0,-19.9642,-93.421,3.9e-05,-22.1,20.0
Outdoor_-21.56,.3082..HHZ,2019-12-06 22:55:25.000,269.975,0.2,20.0,107,4.0,-10.4373,-72.11,2.1e-05,-21.9,20.0
Outdoor_-34.06,.3082..HHZ,2019-12-09 15:15:08.600,293.375,0.2,20.0,116,4.0,-10.2744,-71.925,1.9e-05,-38.2,20.0
Outdoor_-33.75,.3082..HHZ,2019-12-09 17:02:42.000,292.975,0.2,20.0,116,4.0,-10.2692,-71.915,2e-05,-35.6,20.0
Outdoor_-32.05,.3082..HHZ,2019-12-09 18:21:17.000,292.975,0.2,20.0,116,4.0,-10.2667,-71.905,2.1e-05,-35.3,20.0
Outdoor_-31.88,.3082..HHZ,2019-12-09 18:51:46.000,292.975,0.2,20.0,116,4.0,-10.2698,-71.903,2.1e-05,-35.3,20.0
Outdoor_-30.62,.3082..HHZ,2019-12-09 19:12:45.600,293.375,0.2,20.0,116,4.0,-10.2713,-71.903,2.1e-05,-34.4,20.0
Outdoor_-30.00,.3082..HHZ,2019-12-09 20:22:52.600,293.375,0.2,20.0,116,4.0,-10.2814,-71.912,2.3e-05,-33.4,20.0
Outdoor_-29.69,.3082..HHZ,2019-12-09 20:50:23.000,292.975,0.2,20.0,116,4.0,-10.2872,-71.917,2.2e-05,-33.4,20.0
Outdoor_-29.690,.3082..HHZ,2019-12-09 21:10:23.000,292.975,0.2,20.0,116,4.0,-10.2906,-71.92,2.2e-05,-33.7,20.0
Outdoor_-31.25,.3082..HHZ,2019-12-09 22:54:47.600,293.375,0.2,20.0,116,4.0,-10.3025,-71.95,2.1e-05,-33.1,20.0
